재야인사로	재야인사/NNG + 로/JKB
3녀	3/SN + 녀/NNG
▴	▴/SW
경남	경남/NNP
함안·56세	함안/NNP + ·/SP + 56/SN + 세/NNB
▴	▴/SW
부산대	부산대/NNP
상대	상대/NNG
▴	▴/SW
경남	경남/NNP
부지사	부지사/NNG
▴	▴/SW
내무부	내무부/NNG
기획관리실장	기획/NNG + 관리/NNG + 실장/NNG
▴	▴/SW
내무부	내무부/NNG
차관보	차관보/NNG

샐러리맨	샐러리맨/NNG
출신의	출신/NNG + 의/JKG
특이한	특이/NNG + 하/XSA + ㄴ/ETM
경력	경력/NNG
소유자.	소유자/NNG + ./SF

전력투구식	전력투구/NNG + 식/NNB
근무	근무/NNG
태도로	태도/NNG + 로/JKB
아남	아남/NNP
산업과	산업/NNG + 과/JC
삼성에서	삼성/NNP + 에서/JKB
빠른	빠르/VA + ㄴ/ETM
승진을	승진/NNG + 을/JKO
했다.	하/VV + 았/EP + 다/EF + ./SF

김영삼	김영삼/NNP
대통령의	대통령/NNG + 의/JKG
야당총재시절	야당/NNG + 총재/NNG + 시절/NNG
'YS인맥'이라는	'/SS + YS/SL + 인맥/NNG + '/SS + 이/VCP + 라는/ETM
이유로	이유/NNG + 로/JKB
불이익을	불/XPN + 이익/NNG + 을/JKO
당하자	당하/VV + 자/EC
사직하고	사직/NNG + 하/XSV + 고/EC
김	김/NNP
대통령	대통령/NNG
비서실에	비서실/NNG + 에/JKB
합류.	합류/NNG + ./SF

▴	▴/SW
대구·54세	대구/NNP + ·/SP + 54/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
정치학과	정치학/NNG + 과/NNG
졸	졸/NNG
▴	▴/SW
아남	아남/NNP
산업	산업/NNG
공장장	공장장/NNG
▴	▴/SW
삼성	삼성/NNP
전관	전관/NNG
전무	전무/NNG
▴	▴/SW
민자당	민자당/NNP
총재	총재/NNG
의전-민청	의전/NNG + -/SS + 민청/NNG
특별	특별/NNG
보좌역	보좌/NNG + 역/NNG

조용하고	조용/XR + 하/XSA + 고/EC
대인	대인/NNG
관계가	관계/NNG + 가/JKS
원만한	원만/XR + 하/XSA + ㄴ/ETM
선비형.	선비/NNG + 형/XSN + ./SF

3천	3/SN + 천/NR
7백여시간의	7/SN + 백/NR + 여/XSN + 시간/NNG + 의/JKG
비행	비행/NNG
기록을	기록/NNG + 을/JKO
보유하고	보유/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

대북	대북/NNG
정세에	정세/NNG + 에/JKB
밝은	밝/VA + 은/ETM
작전정보통.	작전/NNG + 정보통/NNG + ./SF

지나치게	지나치/VA + 게/EC
신중하다는	신중/NNG + 하/XSA + 다는/ETM
지적도	지적/NNG + 도/JX
있다.	있/VV + 다/EF + ./SF

충북	충북/NNP
청주고	청주고/NNP
졸업	졸업/NNG
후	후/NNG
공사	공사/NNG
8기로	8/SN + 기/NNG + 로/JKB
60년	60/SN + 년/NNB
임관.	임관/NNG + ./SF

최근	최근/NNG
차세대전투기사업(KFP)	차세대/NNG + 전투기/NNG + 사업/NNG + (/SS + KFP/SL + )/SS
기종변경	기종/NNG + 변경/NNG
의혹과	의혹/NNG + 과/JKB
관련,	관련/NNG + ,/SP
곤욕을	곤욕/NNG + 을/JKO
치렀다.	치르/VV + 었/EP + 다/EF + ./SF

군개혁을	군/NNG + 개혁/NNG + 을/JKO
돌풍에	돌풍/NNG + 에/JKB
공군	공군/NNG
총장이	총장/NNG + 이/JKC
된	되/VV + ㄴ/ETM
지	지/NNB
7개월여만에	7/SN + 개월/NNB + 여/XSN + 만/JX + 에/JKB
공군	공군/NNG
출신	출신/NNG
최초의	최초/NNG + 의/JKG
합참	합참/NNG
의장이	의장/NNG + 이/JKS
됐다.	되/VV + 었/EP + 다/EF + ./SF

부인	부인/NNG
김혜숙씨(55)와	김혜숙/NNP + 씨/NNB + (/SS + 55/SN + )/SS + 와/JC
2녀.	2/SN + 녀/NNG + ./SF

겉으로	겉/NNG + 으로/JKB
보기엔	보/VV + 기에/EC + ㄴ/JX
대범하고	대범/XR + 하/XSA + 고/EC
후덕한	후덕/NNG + 하/XSA + ㄴ/ETM
인상을	인상/NNG + 을/JKO
주지만	주/VV + 지만/EC
업무는	업무/NNG + 는/JX
치밀하게	치밀/XR + 하/XSA + 게/EC
챙기는	챙기/VV + 는/ETM
편.	편/NNB + ./SF

작전	작전/NNG
분야를	분야/NNG + 를/JKO
두루	두루/MAG
거친	거치/VV + ㄴ/ETM
공군	공군/NNG
제일의	제일/NNG + 의/JKG
작전통.	작전통/NNG + ./SF

지난해	지난해/NNG
공군작전사령관에서	공군/NNG + 작전/NNG + 사령관/NNG + 에서/JKB
합참	합참/NNG
정보	정보/NNG
본부장을	본부장/NNG + 을/JKO
거쳐	거치/VV + 어/EC
이번에	이번/NNG + 에/JKB
총장에	총장/NNG + 에/JKB
임명돼	임명/NNG + 되/XSV + 어/EC
이양호	이양호/NNP
합참의장(전	합참/NNG + 의장/NNG + (/SS + 전/NNG
공군총장)을	공군/NNG + 총장/NNG + )/SS + 을/JKO
이어	잇/VV + 어/EC
정통	정통/NNG
코스를	코스/NNG + 를/JKO
밟았다.	밟/VV + 았/EP + 다/EF + ./SF

경북	경북/NNP
양양	양양/NNP
출신으로	출신/NNG + 으로/JKB
경북고를	경북고/NNP + 를/JKO
나온	나오/VV + ㄴ/ETM
TK.	TK/SL + ./SF

공사	공사/NNG
9기	9/SN + 기/NNG
선두	선두/NNG
주자로	주자/NNG + 로/JKB
전투비행단장-작전참모부장-교육사령관	전투/NNG + 비행단장/NNG + -/SS + 작전/NNG + 참모부장/NNG + -/SS + 교육/NNG + 사령관/NNG
등을	등/NNB + 을/JKO
지냈다.	지내/VV + 었/EP + 다/EF + ./SF

조인화씨(47)와	조인화/NNP + 씨/NNB + (/SS + 47/SN + )/SS + 와/JC
1녀.	1/SN + 녀/NNG + ./SF

소장에서	소장/NNG + 에서/JKB
중장으로	중장/NNG + 으로/JKB
파격적으로	파격/NNG + 적/XSN + 으로/JKB
해군	해군/NNG
참모	참모/NNG
총장에	총장/NNG + 에/JKB
발탁되는	발탁/NNG + 되/XSV + 는/ETM
행운을	행운/NNG + 을/JKO
얻었다.	얻/VV + 었/EP + 다/EF + ./SF

기수가	기수/NNG + 가/JKS
하나	하나/NR
위인	위/NNG + 이/VCP + ㄴ/ETM
간용태	간용태/NNP
해군사관학교장(15기)을	해군사관학교장/NNG + (/SS + 15/SN + 기/NNG + )/SS + 을/JKO
비롯,	비롯/XR + ,/SP
동기생인	동기/NNG + 생/XSN + 이/VCP + ㄴ/ETM
김성득	김성득/NNP
합참	합참/NNG
제	제/XPN
2차장,	2/SN + 차장/NNG + ,/SP
김만청	김만청/NNP
참모	참모/NNG
차장	차장/NNG
등	등/NNB
그동안	그동안/NNG
거론돼	거론/NNG + 되/XSV + 어/EC
왔던	오/VX + 았/EP + 던/ETM
총장	총장/NNG
후보들을	후보/NNG + 들/XSN + 을/JKO
제친	제치/VV + ㄴ/ETM
의외의	의외/NNG + 의/JKG
인물.	인물/NNG + ./SF

일밖에	일/NNG + 밖에/JX
모른다는	모르/VV + ㄴ다는/ETM
평.	평/NNG + ./SF

해사	해사/NNP
16기를	16/SN + 기/NNG + 를/JKO
수석졸업,	수석/NNG + 졸업/NNG + ,/SP
참모	참모/NNG
총장	총장/NNG
수석부관-함대사령관-작전참모부장	수석/NNG + 부관/NNG + -/SS + 함대/NNG + 사령관/NNG + -/SS + 작전/NNG + 참모/NNG + 부장/NNG
등을	등/NNB + 을/JKO
거쳤다.	거치/VV + 었/EP + 다/EF + ./SF

충남	충남/NNP
서천	서천/NNP
출신으로	출신/NNG + 으로/JKB
부인	부인/NNG
박정애씨(54)와	박정애/NNP + 씨/NNB + (/SS + 54/SN + )/SS + 와/JC
1남	1/SN + 남/NNG
1녀.	1/SN + 녀/NNG + ./SF

13일	13/SN + 일/NNB
회교국	회교국/NNG
터키	터키/NNP
사상	사상/NNG
최초의	최초/NNG + 의/JKG
여성	여성/NNG
총리가	총리/NNG + 가/JKC
된	되/VV + ㄴ/ETM
터키	터키/NNP
제	제/XPN
1당	1/SN + 당/NNG
정도당(TPP)	정도당/NNP + (/SS + TPP/SL + )/SS
당수	당수/NNG
탄수	탄수/NNP
실레르	실레르/NNP
전국무장관(47)은	전/MM + 국무/NNG + 장관/NNG + (/SS + 47/SN + )/SS + 은/JX
"터키	"/SS + 터키/NNP
국민은	국민/NNG + 은/JX
변화를	변화/NNG + 를/JKO
원하고	원하/VV + 고/EC
있다"고	있/VX + 다/EC + "/SS + 고/JKQ
지적하고	지적/NNG + 하/XSV + 고/EC
"당	"/SS + 당/NNG
지도자들과	지도자/NNG + 들/XSN + 과/JKB
함께	함께/MAG
21세기	21/SN + 세기/NNG
터키를	터키/NNP + 를/JKO
이끌어	이끌/VV + 어/EC
나가겠다"고	나가/VX + 겠/EP + 다/EC + "/SS + 고/JKQ
강조했다.	강조/NNG + 하/XSV + 았/EP + 다/EF + ./SF

미국에서	미국/NNP + 에서/JKB
경제학을	경제학/NNG + 을/JKO
공부한	공부/NNG + 하/XSV + ㄴ/ETM
그녀는	그녀/NP + 는/JX
귀국	귀국/NNG
후	후/NNG
명문	명문/NNG
보스포러스	보스포러스/NNP
대학에서	대학/NNG + 에서/JKB
경제학	경제학/NNG
교수로	교수/NNG + 로/JKB
일하다	일/NNG + 하/XSV + 다/EC
지난	지나/VV + ㄴ/ETM
80년	80/SN + 년/NNB
대말	대/NNB + 말/NNB
데미렐	데미렐/NNP
현	현/MM
대통령의	대통령/NNG + 의/JKG
경제	경제/NNG
담당	담당/NNG
보좌관을	보좌관/NNG + 을/JKO
시작으로	시작/NNG + 으로/JKB
정계에	정계/NNG + 에/JKB
입문했다.	입문/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그녀는	그녀/NP + 는/JX
한때	한때/NNG
데미렐의	데미렐/NNP + 의/JKG
'왕비'	'/SS + 왕비/NNG + '/SS
또는	또는/MAG
'딸'이라는	'/SS + 딸/NNG + '/SS + 이/VCP + 라는/ETM
별명을	별명/NNG + 을/JKO
가졌으나	가지/VV + 었/EP + 으나/EC
이후	이후/NNG
국영	국영/NNG
기업의	기업/NNG + 의/JKG
신속한	신속/NNG + 하/XSA + ㄴ/ETM
민영화를	민영/NNG + 화/XSN + 를/JKO
주장하고	주장/NNG + 하/XSV + 고/EC
최근에는	최근/NNG + 에/JKB + 는/JX
중앙	중앙/NNG
은행	은행/NNG
및	및/MAG
재무부에	재무/NNG + 부/NNG + 에/JKB
금리	금리/NNG
인하를	인하/NNG + 를/JKO
요구하는	요구/NNG + 하/XSV + 는/ETM
등	등/NNB
독자적인	독자/NNG + 적/XSN + 이/VCP + ㄴ/ETM
목소리를	목소리/NNG + 를/JKO
높이기	높이/VV + 기/ETN
시작해	시작/NNG + 하/XSV + 아/EC
'강철	'/SS + 강철/NNG
미소를	미소/NNG + 를/JKO
지닌	지니/VV + ㄴ/ETM
여성'이라는	여성/NNG + '/SS + 이/VCP + 라는/ETM
새로운	새롭/VA + ㄴ/ETM
별명이	별명/NNG + 이/JKS
붙었다.	붙/VV + 었/EP + 다/EF + ./SF

결혼	결혼/NNG
후	후/NNG
남편에게	남편/NNG + 에게/JKB
자신의	자신/NNG + 의/JKG
성을	성/NNG + 을/JKO
사용토록	사용/NNG + 하/XSV + 도록/EC
하는	하/VX + 는/ETM
등	등/NNB
회교	회교/NNG
국가에서는	국가/NNG + 에서/JKB + 는/JX
극히	극히/MAG
드문	드물/VA + ㄴ/ETM
여권	여권/NNG
신장	신장/NNG
관련	관련/NNG
일화를	일화/NNG + 를/JKO
갖고	갖/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

13일	13/SN + 일/NNB
보수당	보수당/NNP
당수	당수/NNG
선거에서	선거/NNG + 에서/JKB
승리,	승리/NNG + ,/SP
캐나다	캐나다/NNP
최초의	최초/NNG + 의/JKG
여성	여성/NNG
총리가	총리/NNG + 가/JKC
된	되/VV + ㄴ/ETM
킴	킴/NNP
캠블은	캠블/NNP + 은/JX
86년	86/SN + 년/NNB
브리티시	브리티시/NNP
컬럼비아	컬럼비아/NNP
주의원으로	주/NNG + 의원/NNG + 으로/JKB
정계	정계/NNG
입문,	입문/NNG + ,/SP
88년	88/SN + 년/NNB
밴쿠버에서	밴쿠버/NNP + 에서/JKB
집권	집권/NNG
진보	진보/NNG
보수당	보수당/NNP
소속으로	소속/NNG + 으로/JKB
의원	의원/NNG
당선,	당선/NNG + ,/SP
인디언	인디언/NNG
문제	문제/NNG
담당	담당/NNG
장관과	장관/NNG + 과/JC
법무장관	법무/NNG + 장관/NNG
역임	역임/NNG
등	등/NNB
출세	출세/NNG
가도를	가도/NNG + 를/JKO
달려	달리/VV + 어/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

그녀의	그녀/NP + 의/JKG
독설은	독설/NNG + 은/JX
유명해	유명/NNG + 하/XSA + 아/EC
언론에서는	언론/NNG + 에서/JKB + 는/JX
'독설적인	'/SS + 독설/NNG + 적/XSN + 이/VCP + ㄴ/ETM
작은	작/VA + 은/ETM
대처'라고	대처/NNG + '/SS + 라고/JKQ
부르기도	부르/VV + 기/ETN + 도/JX
한다.	하/VX + ㄴ다/EF + ./SF

실제	실제/MAG
이번	이번/NNG
선거	선거/NNG
기간	기간/NNG
동안	동안/NNG
상대편을	상대편/NNG + 을/JKO
'캐나다의	'/SS + 캐나다/NNP + 의/JKG
적들'이라고	적/NNG + 들/XSN + '/SS + 이라고/JKQ
험담을	험담/NNG + 을/JKO
퍼부어	퍼붓/VV + 어/EC
지난	지나/VV + ㄴ/ETM
달	달/NNG
이를	이/NP + 를/JKO
공개	공개/NNG
사과한	사과/NNG + 하/XSV + ㄴ/ETM
바	바/NNB
있고,	있/VV + 고/EC + ,/SP
한	한/MM
인터뷰에서는	인터뷰/NNG + 에서/JKB + 는/JX
선거에	선거/NNG + 에/JKB
냉담한	냉담/NNG + 하/XSA + ㄴ/ETM
유권자들을	유권자/NNG + 들/XSN + 을/JKO
"잘난	"/SS + 잘나/VA + ㄴ/ETM
체하는	체/NNB + 하/XSV + 는/ETM
개××들"이라고	개/NNG + ×/SO + ×/SO + 들/XSN + "/SS + 이라고/JKQ
표현,	표현/NNG + ,/SP
심한	심하/VA + ㄴ/ETM
비난을	비난/NNG + 을/JKO
받기도	받/VV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

그녀의	그녀/NP + 의/JKG
이	이/MM
같은	같/VA + 은/ETM
성격은	성격/NNG + 은/JX
정책에서도	정책/NNG + 에서/JKB + 도/JX
그대로	그대로/MAG
나타내	나타내/VV + 어/EC
낙태	낙태/NNG
권리와	권리/NNG + 와/JC
총포	총포/NNG
단속을	단속/NNG + 을/JKO
적극	적극/NNG
지지해	지지/NNG + 하/XSV + 아/EC
당	당/NNG
지도부와	지도부/NNG + 와/JKB
많은	많/VA + 은/ETM
마찰을	마찰/NNG + 을/JKO
일으키곤	일으키/VV + 곤/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

밴쿠버	밴쿠버/NNP
태생인	태생/NNG + 이/VCP + ㄴ/ETM
캠블은	캠블/NNP + 은/JX
대학에서	대학/NNG + 에서/JKB
정치학을	정치학/NNG + 을/JKO
전공한	전공/NNG + 하/XSV + ㄴ/ETM
뒤	뒤/NNG
런던	런던/NNP
경제	경제/NNG
학교에서	학교/NNG + 에서/JKB
러시아학을	러시아학/NNG + 을/JKO
공부해	공부/NNG + 하/XSV + 아/EC
러시아	러시아/NNP
전문가로	전문가/NNG + 로/JKB
통하기도	통하/VV + 기/ETN + 도/JX
한다.	하/VX + ㄴ다/EF + ./SF

그녀는	그녀/NP + 는/JX
법무장관	법무/NNG + 장관/NNG
취임	취임/NNG
직후	직후/NNG
어깨를	어깨/NNG + 를/JKO
드러낸	드러내/VV + ㄴ/ETM
모습으로	모습/NNG + 으로/JKB
사진	사진/NNG
취재에	취재/NNG + 에/JKB
응해	응하/VV + 아/EC
언론들로부터	언론/NNG + 들/XSN + 로부터/JKB
'캐나다	'/SS + 캐나다/NNP
정계의	정계/NNG + 의/JKG
마돈나'라는	마돈나/NNP + '/SS + 이/VCP + 라는/ETM
별명을	별명/NNG + 을/JKO
얻기도	얻/VV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

훤칠한	훤칠/XR + 하/XSA + ㄴ/ETM
키에	키/NNG + 에/JKB
성격도	성격/NNG + 도/JX
원만해	원만/XR + 하/XSA + 아/EC
'영국	'/SS + 영국/NNP
신사'로	신사/NNG + '/SS + 로/JKB
불린다.	불리/VV + ㄴ다/EF + ./SF

법원내	법원/NNG + 내/NNB
'소수파'인	'/SS + 소수파/NNG + '/SS + 이/VCP + ㄴ/ETM
연세대	연세대/NNP
출신의	출신/NNG + 의/JKG
맏형.	맏햄/NNG + ./SF

윤관	윤관/NNP
대법원장의	대법원장/NNG + 의/JKG
대학	대학/NNG
2년	2/SN + 년/NNB
선배이지만	선배/NNG + 이/VCP + 지만/EC
시험은	시험/NNG + 은/JX
동기로	동기/NNG + 로/JKB
대법관	대/XPN + 법관/NNG
중	중/NNB
최고령이다.	최/XPN + 고령/NNG + 이/VCP + 다/EF + ./SF

매사에	매사/NNG + 에/JKB
신중하고	신중/NNG + 하/XSA + 고/EC
합리적이어서	합리/NNG + 적/XSN + 이/VCP + 어서/EC
후배	후배/NNG
법관들로부터	법관/NNG + 들/XSN + 로부터/JKB
신망이	신망/NNG + 이/JKS
높다.	높/VA + 다/EF + ./SF

재판은	재판/NNG + 은/JX
물론	물론/MAG
사법	사법/NNG
행정에도	행정/NNG + 에/JKB + 도/JX
능력을	능력/NNG + 을/JKO
보였다.	보이/VV + 었/EP + 다/EF + ./SF

▴	▴/SW
경남	경남/NNP
하동출신·60세▴	하동/NNP + 출신/NNG + ·/SP + 60/SN + 세/NNB + ▴/SW
연세대	연세대/NNP
정법대졸▴	정법대/NNG + 졸/NNG + ▴/SW
고시	고시/NNG
10회▴	10/SN + 회/NNB + ▴/SW
인천지원장▴	인천지원장/NNG + ▴/SW
서울남부지원장▴	서울/NNP + 남부/NNG + 지원장/NNG + ▴/SW
부산지법원장▴	부산지법/NNP + 원장/NNG + ▴/SW
법원행정처차장▴	법원/NNG + 행정처/NNG + 차장/NNG + ▴/SW
대법관	대/XPN + 법관/NNG

서울	서울/NNP
민사지법원장	민사/NNG + 지법/NNG + 원장/NNG
때	때/NNG
사건적체	사건/NNG + 적체/NNG
해소와	해소/NNG + 와/JC
소송	소송/NNG
업무의	업무/NNG + 의/JKG
신속	신속/XR
처리를	처리/NNG + 를/JKO
위해	위하/VV + 아/EC
집중	집중/NNG
심리제를	심리/NNG + 제/XSN + 를/JKO
도입한	도입/NNG + 하/XSV + ㄴ/ETM
민사통.	민사통/NNG + ./SF

조용하면서도	조용/XR + 하/XSA + 면서/EC + 도/JX
결단력	결단력/NNG
있고	있/VV + 고/EC
자기	자기/NP
관리에	관리/NNG + 에/JKB
엄격한	엄격/XR + 하/XSA + ㄴ/ETM
소신파.	소신/NNG + 파/NNG + ./SF

유신	유신/NNG
때인	때/NNG + 이/VCP + ㄴ/ETM
76년	76/SN + 년/NNB
서울	서울/NNP
고법	고법/NNG
판사	판사/NNG
재직시	재직/NNG + 시/NNB
3·1	3/SN + ·/SP + 1/SN
명동	명동/NNP
구국	구국/NNG
선언	선언/NNG
사건으로	사건/NNG + 으로/JKB
기소된	기소/NNG + 되/XSV + ㄴ/ETM
김대중	김대중/NNP
씨가	씨/NNB + 가/JKS
낸	내/VV + ㄴ/ETM
재판부	재판부/NNG
기피	기피/NNG
신청을	신청/NNG + 을/JKO
받아	받/VV + 아/EC
들여	들이/VV + 어/EC
고충을	고충/NNG + 을/JKO
겪었다.	겪/VV + 었/EP + 다/EF + ./SF

고	고/MM
고재호	고재호/NNP
대법관의	대/XPN + 법관/NNG + 의/JKG
맏사위.	맏/XPN + 사위/NNG + ./SF

▴	▴/SW
강원	강원/NNP
강릉출신·54세▴	강릉/NNP + 출신/NNG + ·/SP + 54/SN + 세/NNB + ▴/SW
서울법대	서울법대/NNP
졸▴	졸/NNG + ▴/SW
고시	고시/NNG
13회▴	13/SN + 회/NNB + ▴/SW
서울지법	서울지법/NNP
북부지원장▴	북부/NNG + 지원장/NNG + ▴/SW
대법관	대/XPN + 법관/NNG

