"내일	"/SS + 내일/NNG
쓰여왔다.	쓰/VV + 아/EC + 오/VX + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
밥은	밥/NNG + 은/JX
가마솥에서	가마솥/NNG + 에서/JKB
제	저/NP + 의/JKG
맛을	맛/NNG + 을/JKO
내지만	내/VV + 지만/EC
라면은	라면/NNG + 은/JX
파르르	파르르/MAG
끓어	끓/VV + 어/EC
넘치는	넘치/VV + 는/ETM
냄비에서	냄비/NNG + 에서/JKB
제	저/NP + 의/JKG
맛을	맛/NNG + 을/JKO
낸다는	내/VV + ㄴ다는/ETM
사실을	사실/NNG + 을/JKO
경험해	경험/NNG + 하/XSV + 아/EC
본	보/VX + ㄴ/ETM
사람은	사람/NNG + 은/JX
알	알/VV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

세계인을	세계인/NNG + 을/JKO
놀라게	놀라/VV + 게/EC
한	한/MM
붉은악마의	붉/VA + 은/ETM + 악마/NNG + 의/JKG
응원은	응원/NNG + 은/JX
이	이/MM
냄비	냄비/NNG
문화의	문화/NNG + 의/JKG
긍정적	긍정/NNG + 적/XSN
발현이라고	발현/NNG + 이/VCP + 라고/EC
볼	보/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

그것은	그것/NP + 은/JX
남에게	남/NNG + 에게/JKB
폐를	폐/NNG + 를/JKO
끼치지	끼치/VV + 지/EC
않으려고	않/VX + 으려고/EC
작은	작/VA + 은/ETM
액정	액정/NNG
화면으로	화면/NNG + 으로/JKB
조용히	조용히/MAG
응원하는	응원/NNG + 하/XSV + 는/ETM
일본인의	일본인/NNG + 의/JKG
차가운	차갑/VA + ㄴ/ETM
공동체	공동체/NNG
문화와도	문화/NNG + 와/JKB + 도/JX
다르고,	다르/VA + 고/EC + ,/SP
쉽게	쉽/VA + 게/EC
흥분하며	흥분/NNG + 하/XSV + 며/EC
가족과	가족/NNG + 과/JC
친척	친척/NNG
일에	일/NNG + 에/JKB
발벗고	발/NNG + 벗/VV + 고/EC
나서는	나서/VV + 는/ETM
남미나	남미/NNP + 나/JC
이탈리아	이탈리아/NNP
사람들의	사람/NNG + 들/XSN + 의/JKG
뜨겁기만	뜨겁/VA + 기/ETN + 만/JX
한	한/MM
공동체	공동체/NNG
문화와도	문화/NNG + 와/JKB + 도/JX
틀리다.	틀리/VV + 다/EF + ./SF

정열적이라	정열/NNG + 적/XSN + 이/VCP + 라/EC
금방	금방/MAG
끓어	끓/VV + 어/EC
넘치지만	넘치/VV + 지만/EC
한국인에게는	한국인/NNG + 에게/JKB + 는/JX
그것을	그것/NP + 을/JKO
집단의	집단/NNG + 의/JKG
에너지로	에너지/NNG + 로/JKB
조직할	조직/NNG + 하/XSV + ㄹ/ETM
줄	줄/NNB
아는	알/VV + 는/ETM
지혜가	지혜/NNG + 가/JKS
있다.	있/VV + 다/EF + ./SF

국민들의	국민/NNG + 들/XSN + 의/JKG
이	이/MM
정열은	정열/NNG + 은/JX
압박	압박/NNG
축구의	축구/NNG + 의/JKG
전략과도	전략/NNG + 과/JKB + 도/JX
연결되면서	연결/NNG + 되/XSV + 면서/EC
큰	크/VA + ㄴ/ETM
성공을	성공/NNG + 을/JKO
거두었다.	거두/VV + 었/EP + 다/EF + ./SF

개인의	개인/NNG + 의/JKG
기량은	기량/NNG + 은/JX
떨어지나	떨어지/VV + 나/EC
체력을	체력/NNG + 을/JKO
기르고	기르/VV + 고/EC
조직력을	조직력/NNG + 을/JKO
갖추어	갖추/VV + 어/EC
더	더/MAG
뛰어난	뛰어나/VA + ㄴ/ETM
상대를	상대/NNG + 를/JKO
감당하는	감당/NNG + 하/XSV + 는/ETM
그	그/MM
방식,	방식/NNG + ,/SP
감독의	감독/NNG + 의/JKG
혹독한	혹독/XR + 하/XSA + ㄴ/ETM
훈련과	훈련/NNG + 과/JC
질책에도	질책/NNG + 에/JKB + 도/JX
몸	몸/NNG
사리지	사리/VV + 지/EC
않고	않/VX + 고/EC
잘	잘/MAG
따라준	따르/VV + 아/EC + 주/VX + ㄴ/ETM
한국	한국/NNP
선수들,	선수/NNG + 들/XSN + ,/SP
부상을	부상/NNG + 을/JKO
해	하/VV + 아/EC
들것에	들것/NNG + 에/JKB
실려	실리/VV + 어/EC
나가면서도	나가/VX + 면서/EC + 도/JX
점수	점수/NNG
걱정을	걱정/NNG + 을/JKO
한	하/VV + ㄴ/ETM
선수들이	선수/NNG + 들/XSN + 이/JKS
있기에	있/VV + 기에/EC
이	이/MM
압박	압박/NNG
축구가	축구/NNG + 가/JKS
성공을	성공/NNG + 을/JKO
거둔	거두/VV + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이제	이제/MAG
은근과	은근/NNG + 과/JC
끈기가	끈기/NNG + 가/JKS
정열과	정열/NNG + 과/JKB
만나	만나/VV + 아/EC
만들어낸	만들/VV + 어/EC + 내/VX + ㄴ/ETM
이	이/MM
신화를	신화/NNG + 를/JKO
한국의	한국/NNP + 의/JKG
긍정적	긍정/NNG + 적/XSN
이미지로	이미지/NNG + 로/JKB
활용할	활용/NNG + 하/XSV + ㄹ/ETM
방법들을	방법/NNG + 들/XSN + 을/JKO
모색해	모색/NNG + 하/XSV + 아/EC
보자.	보/VX + 자/EF + ./SF

◈공적자금	◈/SW + 공/NNG + 적/XSN + 자금/NNG
상세한	상세/XR + 하/XSA + ㄴ/ETM
내역	내역/NNG
알려줘야	알리/VV + 어/EC + 주/VX + 어야/EC

6월	6/SN + 월/NNB
29일자	29/SN + 일자/NNG
3면	3/SN + 면/NNG
기자수첩	기자/NNG + 수첩/NNG
'국민을	'/SS + 국민/NNG + 을/JKO
뭘로	무엇/NP + 으로/JKB
알고…'를	알/VV + 고/EC + …/SE + '/SS + 를/JKO
읽고	읽/VV + 고/EC
착잡한	착잡/XR + 하/XSA + ㄴ/ETM
심정에	심정/NNG + 에/JKB
분노마저	분노/NNG + 마저/JX
느낀다.	느끼/VV + ㄴ다/EF + ./SF

무슨	무슨/MM
무슨	무슨/MM
게이트로	게이트/NNG + 로/JKB
자고	자/VV + 고/EC
일어나면	일어나/VV + 면/EC
국민들의	국민/NNG + 들/XSN + 의/JKG
속을	속/NNG + 을/JKO
뒤집더니	뒤집/VV + 더니/EC
월드컵	월드컵/NNG
축제에	축제/NNG + 에/JKB
처음으로	처음/NNG + 으로/JKB
온	온/MM
국민이	국민/NNG + 이/JKS
한	한/MM
마음으로	마음/NNG + 으로/JKB
들떠	들뜨/VV + 어/EC
있는	있/VX + 는/ETM
시기에	시기/NNG + 에/JKB
정부는	정부/NNG + 는/JX
1인당	1/SN + 인/NNG + 당/XSN
원금만	원금/NNG + 만/JX
148만원,	148/SN + 만/NR + 원/NNB + ,/SP
두	두/MM
식구는	식구/NNG + 는/JX
296만원,	296/SN + 만/NR + 원/NNB + ,/SP
세	세/MM
식구는	식구/NNG + 는/JX
444만원,	444/SN + 만/NR + 원/NNB + ,/SP
네	네/MM
식구는	식구/NNG + 는/JX
592만원씩을	592/SN + 만/NR + 원/NNB + 씩/XSN + 을/JKO
국민들에게	국민/NNG + 들/XSN + 에게/JKB
청구한다고	청구/NNG + 하/XSV + ㄴ다고/EC
한다.	하/VX + ㄴ다/EF + ./SF

참으로	참으로/MAG
한심한	한심/XR + 하/XSA + ㄴ/ETM
일이다.	일/NNG + 이/VCP + 다/EF + ./SF

언제	언제/MAG
공적자금을	공/NNG + 적/XSN + 자금/NNG + 을/JKO
사용하겠다고	사용/NNG + 하/XSV + 겠/EP + 다고/EC
국민에게	국민/NNG + 에게/JKB
물어봤는지,	물어보/VV + 았/EP + 는지/EC + ,/SP
공적자금	공/NNG + 적/XSN + 자금/NNG
관리위원회는	관리/NNG + 위원회/NNG + 는/JX
무엇을	무엇/NP + 을/JKO
하는	하/VV + 는/ETM
곳인지….	곳/NNG + 이/VCP + ㄴ지/EC + …/SE + ./SF

그	그/MM
위원회의	위원회/NNG + 의/JKG
강금식	강금식/NNP
민간위원장은	민간/NNG + 위원장/NNG + 은/JX
슬그머니	슬그머니/MAG
8·8보궐선거에	8/SN + ·/SP + 8/SN + 보궐/NNG + 선거/NNG + 에/JKB
출마한다고	출마/NNG + 하/XSV + ㄴ다고/EC
공석이	공석/NNG + 이/JKC
됐고,	되/VV + 었/EP + 고/EC + ,/SP
전윤철	전윤철/NNP
경제부총리는	경제/NNG + 부총리/NNG + 는/JX
"모든	"/SS + 모든/MM
국민이	국민/NNG + 이/JKS
모르는	모르/VV + 는/ETM
사이에	사이/NNG + 에/JKB
(공적자금)	(/SS + 공/NNG + 적/XSN + 자금/NNG + )/SS
혜택을	혜택/NNG + 을/JKO
받았다"고	받/VV + 았/EP + 다/EC + "/SS + 고/JKQ
말했다고	말/NNG + 하/XSV + 았/EP + 다고/EC
한다.	하/VV + ㄴ다/EF + ./SF

도대체	도대체/MAG
국민이	국민/NNG + 이/JKS
언제	언제/MAG
무엇을	무엇/NP + 을/JKO
어떻게	어떻/VA + 게/EC
혜택받았는지,	혜택/NNG + 받/VV + 았/EP + 는지/EC + ,/SP
그	그/MM
동안	동안/NNG
그	그/MM
많은	많/VA + 은/ETM
공적자금은	공/NNG + 적/XSN + 자금/NNG + 은/JX
어떻게	어떻/VA + 게/EC
어디에	어디/NP + 에/JKB
썼는지	쓰/VV + 었/EP + 는지/EC
낱낱이	낱낱이/MAG
알고	알/VV + 고/EC
싶다.	싶/VX + 다/EF + ./SF

이를	이/NP + 를/JKO
위해	위하/VV + 아/EC
정부와	정부/NNG + 와/JC
정치권은	정치/NNG + 권/XSN + 은/JX
앞으로	앞/NNG + 으로/JKB
공청회라도	공청회/NNG + 이/VCP + 라도/EC
열어	열/VV + 어/EC
상세한	상세/XR + 하/XSA + ㄴ/ETM
내역을	내역/NNG + 을/JKO
알려주었으면	알리/VV + 어/EC + 주/VX + 었/EP + 으면/EC
한다.	하/VX + ㄴ다/EF + ./SF

묵묵히	묵묵히/MAG
일해온	일/NNG + 하/XSV + 아/EC + 오/VX + ㄴ/ETM
국민들에게	국민/NNG + 들/XSN + 에게/JKB
내역도	내역/NNG + 도/JX
모르는	모르/VV + 는/ETM
87조원을	87/SN + 조/NR + 원/NNB + 을/JKO
책임지라는	책임지/VV + 라는/ETM
데	데/NNB
4800만	4800/SN + 만/NR
국민	국민/NNG
중에	중/NNB + 에/JKB
몇명이나	몇/MM + 명/NNB + 이나/JX
동의하겠는가.	동의/NNG + 하/XSV + 겠/EP + 는가/EF + ./SF

진정	진정/MAG
책임질	책임지/VV + ㄹ/ETM
정부부처	정부/NNG + 부처/NNG
사람들은	사람/NNG + 들/XSN + 은/JX
국민에	국민/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
오만함을	오만/NNG + 하/XSA + ㅁ/ETN + 을/JKO
버리고	버리/VV + 고/EC
이제는	이제/NNG + 는/JX
진정으로	진정/NNG + 으로/JKB
달라지길	달라지/VV + 기/ETN + ㄹ/JKO
바란다.	바라/VV + ㄴ다/EF + ./SF

/이덕배	//SP + 이덕배/NNP
52·건축상업미술가·서울	52/SN + ·/SP + 건축/NNG + 상업/NNG + 미술가/NNG + ·/SP + 서울/NNP
중랑구	중랑구/NNP

◈'매	◈/SW + '/SS + 매/NNG
아닌	아니/VCN + ㄴ/ETM
대화로	대화/NNG + 로/JKB
선도'	선도/NNG + '/SS
교사	교사/NNG
도리	도리/NNG

6월	6/SN + 월/NNB
29일자	29/SN + 일자/NNG
6면	6/SN + 면/NNG
'체벌	'/SS + 체벌/NNG
대신	대신/NNG
정신·체력	정신/NNG + ·/SP + 체력/NNG
키우는	키우/VV + 는/ETM
쪽으로'라는	쪽/NNB + 으로/JKB + '/SS + 이/VCP + 라는/ETM
독자분	독자/NNG + 분/NNB
의견에	의견/NNG + 에/JKB
공감하면서	공감/NNG + 하/XSV + 면서/EC
덧붙이고자	덧붙이/VV + 고자/EC
한다.	하/VX + ㄴ다/EF + ./SF

일단	일단/MAG
체벌	체벌/NNG
규정을	규정/NNG + 을/JKO
두는	두/VV + 는/ETM
것은	것/NNB + 은/JX
필요하다고	필요/NNG + 하/XSA + 다고/EC
본다.	보/VV + ㄴ다/EF + ./SF

극히	극히/MAG
일부긴	일부/NNG + 이/VCP + 기/ETN + ㄴ/JX
하지만	하/VX + 지만/EC
스트레스를	스트레스/NNG + 를/JKO
풀듯이	풀/VV + 듯이/EC
구타에	구타/NNG + 에/JKB
가까운	가깝/VA + ㄴ/ETM
체벌을	체벌/NNG + 을/JKO
하는	하/VV + 는/ETM
경우도	경우/NNG + 도/JX
있기	있/VV + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

학교에서	학교/NNG + 에서/JKB
문제가	문제/NNG + 가/JKS
있는	있/VV + 는/ETM
학생들은	학생/NNG + 들/XSN + 은/JX
가정에서도	가정/NNG + 에서/JKB + 도/JX
사랑과	사랑/NNG + 과/JC
관심을	관심/NNG + 을/JKO
못받고	못/MAG + 받/VV + 고/EC
자라는	자라/VV + 는/ETM
경우가	경우/NNG + 가/JKS
많은	많/VA + 은/ETM
것으로	것/NNB + 으로/JKB
안다.	알/VV + ㄴ다/EF + ./SF

그렇다면	그렇/VA + 다면/EC
이런	이런/MM
학생들은	학생/NNG + 들/XSN + 은/JX
매로만	매/NNG + 로/JKB + 만/JX
다스릴	다스리/VV + ㄹ/ETM
게	것/NNB + 이/JKC
아니라	아니/VCN + 라/EC
학교에서라도	학교/NNG + 에서/JKB + 이/VCP + 라도/EC
관심을	관심/NNG + 을/JKO
가지고	가지/VV + 고/EC
대화로서	대화/NNG + 로서/JKB
선도하는	선도/NNG + 하/XSV + 는/ETM
것이	것/NNB + 이/JKS
존경받는	존경/NNG + 받/VV + 는/ETM
교사의	교사/NNG + 의/JKG
도리라	도리/NNG + 이/VCP + 라/EC
생각한다.	생각/NNG + 하/XSV + ㄴ다/EF + ./SF

정말	정말/MAG
학생을	학생/NNG + 을/JKO
사랑한다면	사랑/NNG + 하/XSV + ㄴ다면/EC
때리지	때리/VV + 지/EC
않고도	않/VX + 고/EC + 도/JX
선도할	선도/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
방법은	방법/NNG + 은/JX
얼마든지	얼마/NNG + 이/VCP + 든지/EC
있다고	있/VV + 다고/EC
본다.	보/VV + ㄴ다/EF + ./SF

외국의	외국/NNG + 의/JKG
경우는	경우/NNG + 는/JX
카운셀링과	카운셀링/NNG + 과/JC
학부모와의	학부모/NNG + 와/JKB + 의/JKG
대화로써	대화/NNG + 로써/JKB
학생의	학생/NNG + 의/JKG
문제를	문제/NNG + 를/JKO
해결한다.	해결/NNG + 하/XSV + ㄴ다/EF + ./SF

물론	물론/MAG
우리나라의	우리나라/NNG + 의/JKG
경우	경우/NNG
학생의	학생/NNG + 의/JKG
수가	수/NNG + 가/JKS
많다고	많/VA + 다고/EC
하지만	하/VV + 지만/EC
그	그/MM
학생들이	학생/NNG + 들/XSN + 이/JKS
다	다/MAG
문제가	문제/NNG + 가/JKS
있는	있/VV + 는/ETM
것이	것/NNB + 이/JKC
아니고	아니/VCN + 고/EC
일부분의	일부분/NNG + 의/JKG
학생이라고	학생/NNG + 이/VCP + 라고/EC
볼	보/VV + ㄹ/ETM
때	때/NNG
가능하리라	가능/NNG + 하/XSA + 리라/EC
본다.	보/VV + ㄴ다/EF + ./SF

매가	매/NNG + 가/JKS
없어서	없/VA + 어서/EC
교사의	교사/NNG + 의/JKG
권위가	권위/NNG + 가/JKS
떨어진다고	떨어지/VV + ㄴ다고/EC
생각하는	생각/NNG + 하/XSV + 는/ETM
교사가	교사/NNG + 가/JKS
있다면,	있/VV + 다면/EC + ,/SP
진정한	진정/XR + 하/XSA + ㄴ/ETM
교육자로서	교육자/NNG + 로서/JKB
학생을	학생/NNG + 을/JKO
아끼고	아끼/VV + 고/EC
관심으로	관심/NNG + 으로/JKB
이끌어줄	이끌/VV + 어/EC + 주/VX + ㄹ/ETM
때	때/NNG
교사로서의	교사/NNG + 로서/JKB + 의/JKG
권위와	권위/NNG + 와/JC
존경심은	존경심/NNG + 은/JX
절로	절로/MAG
생겨난다는	생겨나/VV + ㄴ다는/ETM
사실을	사실/NNG + 을/JKO
상기시켜주고	상기/NNG + 시키/XSV + 어/EC + 주/VX + 고/EC
싶다.	싶/VX + 다/EF + ./SF

▴6월	▴/SW + 6/SN + 월/NNB
28일자	28/SN + 일자/NNG
49면	49/SN + 면/NNG
'유명	'/SS + 유명/NNG
여가수	여/NNG + 가수/NNG
출연영화	출연/NNG + 영화/NNG
줄줄이	줄줄이/MAG
개봉'	개봉/NNG + '/SS
사진	사진/NNG
설명에서	설명/NNG + 에서/JKB
영화	영화/NNG
'워크	'/SS + 워크/NNG
투	투/NNB
리멤버'	리멤버/NNG + '/SS
사진	사진/NNG
속의	속/NNG + 의/JKG
여자배우는	여자/NNG + 배우/NNG + 는/JX
주인공	주인공/NNG
맨디	맨디/NNP
무어가	무어/NP + 가/JKC
아니라	아니/VCN + 라/EC
남자	남자/NNG
주인공	주인공/NNG
어머니역을	어머니/NNG + 역/NNG + 을/JKO
맡은	맡/VV + 은/ETM
대릴	대릴/NNP
한나이므로	한나/NNP + 이/VCP + 므로/EC
바로잡습니다.	바로잡/VV + 습니다/EF + ./SF

▴6월	▴/SW + 6/SN + 월/NNB
26일자	26/SN + 일자/NNG
57면	57/SN + 면/NNG
"동북아	"/SS + 동북아/NNP
허브	허브/NNG
되려면	되/VV + 려면/EC
'멋대로	'/SS + 멋대로/MAG
법적용'	법/NNG + 적용/NNG + '/SS
없어야"에서	없/VA + 어야/EC + "/SS + 에서/JKB
'KSY법무법인'은	'/SS + KSY/SL + 법무/NNG + 법인/NNG + '/SS + 은/JX
'김·신·유	'/SS + 김/NNP + ·/SP + 신/NNP + ·/SP + 유/NNP
법무법인'이라고	법무/NNG + 법인/NNG + '/SS + 이라고/JKQ
토론에	토론/NNG + 에/JKB
참여했던	참여/NNG + 하/XSV + 았/EP + 던/ETM
톰	톰/NNP
피난스키	피난스키/NNP
변호사가	변호사/NNG + 가/JKS
밝혀왔습니다.	밝히/VV + 어/EC + 오/VX + 았/EP + 습니다/EF + ./SF

대다수	대다수/NNG
성인들은	성인/NNG + 들/XSN + 은/JX
학교에서	학교/NNG + 에서/JKB
체벌이	체벌/NNG + 이/JKS
허용되어야	허용/NNG + 되/XSV + 어야/EC
한다고	하/VX + ㄴ다고/EC
생각하고는	생각/NNG + 하/XSV + 고는/EC
있지만,	있/VV + 지만/EC + ,/SP
최근	최근/NNG
교육인적자원부가	교육/NNG + 인/NNG + 적/XSN + 자원부/NNG + 가/JKS
전국	전국/NNG
초·중·고교에서	초/NNG + ·/SP + 중/NNG + ·/SP + 고교/NNG + 에서/JKB
시행될	시행/NNG + 되/XSV + ㄹ/ETM
체벌에	체벌/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
규정을	규정/NNG + 을/JKO
마련한	마련/NNG + 하/XSV + ㄴ/ETM
것에	것/NNB + 에/JKB
대해서는	대하/VV + 아서/EC + 는/JX
거부감이	거부감/NNG + 이/JKS
큰	크/VA + ㄴ/ETM
것으로	것/NNB + 으로/JKB
나타났다.	나타나/VV + 았/EP + 다/EF + ./SF

한국갤럽이	한국갤럽/NNP + 이/JKS
지난달	지난달/NNG
29일	29/SN + 일/NNB
전국	전국/NNG
성인	성인/NNG
1048명을	1048/SN + 명/NNB + 을/JKO
상대로	상대/NNG + 로/JKB
실시한	실시/NNG + 하/XSV + ㄴ/ETM
전화	전화/NNG
여론조사에서	여론/NNG + 조사/NNG + 에서/JKB
'학생이	'/SS + 학생/NNG + 이/JKS
잘못했을	잘못/MAG + 하/XSV + 았/EP + 을/ETM
경우,	경우/NNG + ,/SP
선생님이	선생/NNG + 님/XSN + 이/JKS
매를	매/NNG + 를/JKO
때려도	때리/VV + 어도/EC
된다고	되/VV + ㄴ다고/EC
생각하는가'란	생각/NNG + 하/XSV + 는가/EC + '/SS + 이/VCP + 란/ETM
질문에	질문/NNG + 에/JKB
'매를	'/SS + 매/NNG + 를/JKO
때려도	때리/VV + 어도/EC
된다'(83.6%)가	되/VV + ㄴ다/EC + '/SS + (/SS + 83/SN + ./SP + 6/SN + %/SW + )/SS + 가/JKS
'어떠한	'/SS + 어떠/XR + 하/XSA + ㄴ/ETM
경우라도	경우/NNG + 이/VCP + 라도/EC
때려서는	때리/VV + 어서/EC + 는/JX
안	안/MAG
된다'(14%)에	되/VV + ㄴ다/EC + '/SS + (/SS + 14/SN + %/SW + )/SS + 에/JKB
비해	비하/VV + 아/EC
압도적으로	압도/NNG + 적/XSN + 으로/JKB
많았다.	많/VA + 았/EP + 다/EF + ./SF

이처럼	이/NP + 처럼/JKB
교육	교육/NNG
목적의	목적/NNG + 의/JKG
체벌을	체벌/NNG + 을/JKO
허용해야	허용/NNG + 하/XSV + 아야/EC
한다는	하/VX + ㄴ다는/ETM
견해는	견해/NNG + 는/JX
성과	성/NNG + 과/JC
연령,	연령/NNG + ,/SP
학력	학력/NNG
등과	등/NNB + 과/JKB
상관없이	상관없이/MAG
모두	모두/MAG
80%	80/SN + %/SW
이상을	이상/NNG + 을/JKO
차지했다.	차지/NNG + 하/XSV + 았/EP + 다/EF + ./SF

하지만	하지만/MAJ
학교	학교/NNG
체벌을	체벌/NNG + 을/JKO
찬성하는	찬성/NNG + 하/XSV + 는/ETM
의견이	의견/NNG + 이/JKS
대다수인	대다수/NNG + 이/VCP + ㄴ/ETM
것과는	것/NNB + 과/JKB + 는/JX
달리,	달리/MAG + ,/SP
최근	최근/NNG
교육부가	교육부/NNG + 가/JKS
'학교생활	'/SS + 학교생활/NNG
규정	규정/NNG
예시안'을	예시/NNG + 안/NNG + '/SS + 을/JKO
통해	통하/VV + 아/EC
체벌을	체벌/NNG + 을/JKO
허용하되	허용/NNG + 하/XSV + 되/EC
회초리	회초리/NNG
크기나	크기/NNG + 나/JC
체벌	체벌/NNG
부위,	부위/NNG + ,/SP
체벌	체벌/NNG
장소	장소/NNG
등을	등/NNB + 을/JKO
규정한	규정/NNG + 하/XSV + ㄴ/ETM
것에	것/NNB + 에/JKB
대해서는	대하/VV + 아서/EC + 는/JX
반대가	반대/NNG + 가/JKS
높았다.	높/VA + 았/EP + 다/EF + ./SF

학교	학교/NNG
체벌을	체벌/NNG + 을/JKO
찬성하는	찬성/NNG + 하/XSV + 는/ETM
응답자	응답자/NNG
중에서	중/NNB + 에서/JKB
'체벌	'/SS + 체벌/NNG
부위를	부위/NNG + 를/JKO
남학생은	남학생/NNG + 은/JX
엉덩이,	엉덩이/NNG + ,/SP
여학생은	여학생/NNG + 은/JX
허벅지로	허벅지/NNG + 로/JKB
제한하고	제한/NNG + 하/XSV + 고/EC
회초리의	회초리/NNG + 의/JKG
크기와	크기/NNG + 와/JC
체벌	체벌/NNG
횟수	횟수/NNG
등을	등/NNB + 을/JKO
규정한	규정/NNG + 하/XSV + ㄴ/ETM
것'에	것/NNB + '/SS + 에/JKB
대해	대하/VV + 아/EC
'체벌은	'/SS + 체벌/NNG + 은/JX
교사의	교사/NNG + 의/JKG
자율에	자율/NNG + 에/JKB
맡겨야	맡기/VV + 어야/EC
한다'며	하/VX + ㄴ다/EC + '/SS + 며/EC
반대하는	반대/NNG + 하/XSV + 는/ETM
견해가	견해/NNG + 가/JKS
77.4%로	77/SN + ./SP + 4/SN + %/SW + 로/JKB
'체벌도	'/SS + 체벌/NNG + 도/JX
규제	규제/NNG
하에서	하/NNG + 에서/JKB
이뤄져야	이루어지/VV + 어야/EC
한다'는	하/VX + ㄴ다/EC + '/SS + 는/ETM
찬성(19.5%)보다	찬성/NNG + (/SS + 19/SN + ./SP + 5/SN + %/SW + )/SS + 보다/JKB
훨씬	훨씬/MAG
높았다.	높/VA + 았/EP + 다/EF + ./SF

즉,	즉/MAG + ,/SP
우리나라	우리나라/NNG
성인의	성인/NNG + 의/JKG
64.7%는	64/SN + ./SP + 7/SN + %/SW + 는/JX
'체벌을	'/SS + 체벌/NNG + 을/JKO
허용하되	허용/NNG + 하/XSV + 되/EC
교사	교사/NNG
자율에	자율/NNG + 에/JKB
맡겨야	맡기/VV + 어야/EC
한다'고	하/VX + ㄴ다/EC + '/SS + 고/JKQ
생각하고	생각/NNG + 하/XSV + 고/EC
있으며	있/VX + 으며/EC
'체벌을	'/SS + 체벌/NNG + 을/JKO
허용하되	허용/NNG + 하/XSV + 되/EC
교육부	교육부/NNG
규제에	규제/NNG + 에/JKB
찬성'	찬성/NNG + '/SS
16.3%,	16/SN + ./SP + 3/SN + %/SW + ,/SP
'체벌	'/SS + 체벌/NNG
자체를	자체/NNG + 를/JKO
반대'	반대/NNG + '/SS
14%	14/SN + %/SW
등은	등/NNB + 은/JX
소수였다.	소수/NNG + 이/VCP + 었/EP + 다/EF + ./SF

한편	한편/MAG
'학생이	'/SS + 학생/NNG + 이/JKS
잘못했을	잘못/MAG + 하/XSV + 았/EP + 을/ETM
경우	경우/NNG
교사의	교사/NNG + 의/JKG
체벌이	체벌/NNG + 이/JKS
교육적으로	교육/NNG + 적/XSN + 으로/JKB
얼마나	얼마나/MAG
효과가	효과/NNG + 가/JKS
있다고	있/VV + 다고/EC
생각하는가'란	생각/NNG + 하/XSV + 는가/EC + '/SS + 이/VCP + 란/ETM
질문에도	질문/NNG + 에/JKB + 도/JX
'매우	'/SS + 매우/MAG
효과'	효과/NNG + '/SS
24.2%,	24/SN + ./SP + 2/SN + %/SW + ,/SP
'어느	'/SS + 어느/MM
정도	정도/NNG
효과'	효과/NNG + '/SS
57.8%	57/SN + ./SP + 8/SN + %/SW
등	등/NNB
전체의	전체/NNG + 의/JKG
82%가	82/SN + %/SW + 가/JKS
'효과가	'/SS + 효과/NNG + 가/JKS
있다'고	있/VV + 다/EC + '/SS + 고/JKQ
답했고,	답/NNG + 하/XSV + 았/EP + 고/EC + ,/SP
'효과가	'/SS + 효과/NNG + 가/JKS
없다'는	없/VA + 다/EC + '/SS + 는/JX
18%에	18/SN + %/SW + 에/JKB
머물렀다.	머무르/VV + 었/EP + 다/EF + ./SF

이	이/MM
조사의	조사/NNG + 의/JKG
최대허용	최대/NNG + 허용/NNG
표본오차는	표본/NNG + 오차/NNG + 는/JX
95%	95/SN + %/SW
신뢰수준에	신뢰/NNG + 수준/NNG + 에/JKB
±3%포인트다.	±/SW + 3/SN + %/SW + 포인트/NNG + 이/VCP + 다/EF + ./SF

우선	우선/MAG
29일의	29/SN + 일/NNB + 의/JKG
제2	제/XPN + 2/SN
연평교전에서	연평/NNP + 교전/NNG + 에서/JKB
전사한	전사/NNG + 하/XSV + ㄴ/ETM
해군	해군/NNG
장병들의	장병/NNG + 들/XSN + 의/JKG
명복을	명복/NNG + 을/JKO
