엊그제	엊그제/NNG
듣거나	듣/VV + 거나/EC
복수	복수/NNG
추천을	추천/NNG + 을/JKO
받는	받/VV + 는/ETM
절차를	절차/NNG + 를/JKO
거쳐	거치/VV + 어/EC
임명하는	임명/NNG + 하/XSV + 는/ETM
것이	것/NNB + 이/JKS
정부	정부/NNG
수립	수립/NNG
이래의	이래/NNB + 의/JKG
관행이	관행/NNG + 이/JKC
되어	되/VV + 어/EC
있다는	있/VX + 다는/ETM
것이	것/NNB + 이/JKS
전문가들의	전문가/NNG + 들/XSN + 의/JKG
의견이다.	의견/NNG + 이/VCP + 다/EF + ./SF

노태우	노태우/NNP
대통령이	대통령/NNG + 이/JKS
이번	이번/NNG
노재봉	노재봉/NNP
총리	총리/NNG
서리를	서리/NNG + 를/JKO
지명한	지명/NNG + 하/XSV + ㄴ/ETM
것은	것/NNB + 은/JX
정치적으로는	정치/NNG + 적/XSN + 으로/JKB + 는/JX
말할	말/NNG + 하/XSV + ㄹ/ETM
것도	것/NNB + 도/JX
없고	없/VA + 고/EC
법적	법/NNG + 적/XSN
절차상으로도	절차/NNG + 상/XSN + 으로/JKB + 도/JX
아무런	아무런/MM
하자가	하자/NNG + 가/JKS
없다.	없/VA + 다/EF + ./SF

국회의	국회/NNG + 의/JKG
동의	동의/NNG
절차를	절차/NNG + 를/JKO
어긴	어기/VV + ㄴ/ETM
것이	것/NNB + 이/JKC
없기	없/VA + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
장관의	장관/NNG + 의/JKG
임명	임명/NNG
문제는	문제/NNG + 는/JX
총리	총리/NNG
서리가	서리/NNG + 가/JKC
아닌	아니/VCN + ㄴ/ETM
'총리의	'/SS + 총리/NNG + 의/JKG
제청으로'	제청/NNG + 으로/JKB + '/SS
임명하게	임명/NNG + 하/XSV + 게/EC
되어	되/VV + 어/EC
있는	있/VX + 는/ETM
장관의	장관/NNG + 의/JKG
임명절차(헌법	임명/NNG + 절차/NNG + (/SS + 헌법/NNG
87조,	87/SN + 조/NNB + ,/SP
94조)를	94/SN + 조/NNB + )/SS + 를/JKO
제대로	제대로/MAG
밟은	밟/VV + 은/ETM
것으로	것/NNB + 으로/JKB
볼	보/VV + ㄹ/ETM
수	수/NNB
없다.	없/VA + 다/EF + ./SF

청와대는	청와대/NNP + 는/JX
내막적으로는	내막/NNG + 적/XSN + 으로/JKB + 는/JX
노	노/NNP
대통령이	대통령/NNG + 이/JKS
총리	총리/NNG
서리를	서리/NNG + 를/JKO
정하고	정하/VV + 고/EC
그의	그/NP + 의/JKG
제청을	제청/NNG + 을/JKO
받은	받/VV + 은/ETM
것이라고	것/NNB + 이/VCP + 라고/EC
이제까지의	이제/NNG + 까지/JX + 의/JKG
강변을	강변/NNG + 을/JKO
되풀이	되풀이/NNG
하겠지만,	하/VV + 겠/EP + 지만/EC + ,/SP
노재봉	노재봉/NNP
씨는	씨/NNB + 는/JX
헌법상	헌법/NNG + 상/XSN
아직	아직/MAG
서리이지	서리/NNG + 이/VCP + 지/EC
총리는	총리/NNG + 는/JX
아니며	아니/VCN + 며/EC
형식	형식/NNG
논리로	논리/NNG + 로/JKB
보더라도	보/VV + 더라도/EC
만일	만일/NNG
그의	그/NP + 의/JKG
인준이	인준/NNG + 이/JKS
거부되는	거부/NNG + 되/XSV + 는/ETM
경우	경우/NNG
총리	총리/NNG
서리의	서리/NNG + 의/JKG
'제청'으로	'/SS + 제청/NNG + '/SS + 으로/JKB
이루어진	이루어지/VV + ㄴ/ETM
내각은	내각/NNG + 은/JX
무효일	무효/NNG + 이/VCP + ㄹ/ETM
수밖에	수/NNB + 밖에/JX
없게	없/VA + 게/EC
되기	되/VV + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

우리는	우리/NP + 는/JX
이	이/MM
문제를	문제/NNG + 를/JKO
굳이	굳이/MAG
법형식에	법형식/NNG + 에/JKB
얽매여	얽매이/VV + 어/EC
소극적으로,	소극/NNG + 적/XSN + 으로/JKB + ,/SP
또는	또는/MAG
제한적으로	제한/NNG + 적/XSN + 으로/JKB
해석할	해석/NNG + 하/XSV + ㄹ/ETM
것은	것/NNB + 은/JX
아니라는	아니/VCN + 라는/ETM
주장이	주장/NNG + 이/JKS
있다는	있/VV + 다는/ETM
것을	것/NNB + 을/JKO
알고	알/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

또	또/MAG
헌법의	헌법/NNG + 의/JKG
명문	명문/NNG
규정이	규정/NNG + 이/JKS
있는	있/VV + 는/ETM
데도	데/NNB + 도/JX
과거	과거/NNG
대통령도	대통령/NNG + 도/JX
별로	별로/MAG
지키지	지키/VV + 지/EC
않았고	않/VX + 았/EP + 고/EC
국회가	국회/NNG + 가/JKS
엄격하게	엄격/XR + 하/XSA + 게/EC
문제	문제/NNG
삼지도	삼/VV + 지/EC + 도/JX
않았을	않/VX + 았/EP + 을/ETM
뿐더러	뿐/NNB + 더러/JKB
국민들조차도	국민/NNG + 들/XSN + 조차/JX + 도/JX
'어차피	'/SS + 어차피/MAG
대통령	대통령/NNG
권한인데	권한/NNG + 이/VCP + ㄴ데/EC
뭘	무엇/NP + 을/JKO
까다롭게	까다롭/VA + 게/EC
구느냐'는	굴/VV + 느냐/EC + '/SS + 는/ETM
인식에	인식/NNG + 에/JKB
익숙해	익숙/XR + 하/XSA + 아/EC
있다는	있/VX + 다는/ETM
것을	것/NNB + 을/JKO
모르지	모르/VV + 지/EC
않는다.	않/VX + 는다/EF + ./SF

현실적으로	현실/NNG + 적/XSN + 으로/JKB
보더라도	보/VV + 더라도/EC
총리와	총리/NNG + 와/JC
장-차관을	장/NNG + -/SS + 차관/NNG + 을/JKO
결정하는	결정/NNG + 하/XSV + 는/ETM
과정은	과정/NNG + 은/JX
그	그/MM
인사의	인사/NNG + 의/JKG
성격으로	성격/NNG + 으로/JKB
보나	보/VV + 나/EC
그것의	그것/NP + 의/JKG
파장으로	파장/NNG + 으로/JKB
보나	보/VV + 나/EC
또	또/MAG
그것에	그것/NP + 에/JKB
얽힌	얽히/VV + ㄴ/ETM
각종	각종/NNG
잡음들을	잡음/NNG + 들/XSN + 을/JKO
고려할	고려/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
그	그/MM
전격성과	전격/NNG + 성/XSN + 과/JC
비밀성을	비밀/NNG + 성/XSN + 을/JKO
유지하는	유지/NNG + 하/XSV + 는/ETM
것이	것/NNB + 이/JKS
대단히	대단히/MAG
필요하다는	필요/NNG + 하/XSA + 다는/ETM
것을	것/NNB + 을/JKO
부인할	부인/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없다.	없/VA + 다/EF + ./SF

이렇게	이렇/VA + 게/EC
볼	보/VX + ㄹ/ETM
때	때/NNG
하나의	하나/NR + 의/JKG
결론은	결론/NNG + 은/JX
가능하다.	가능/NNG + 하/XSA + 다/EF + ./SF

즉	즉/MAG
대통령	대통령/NNG
중심제	중심/NNG + 제/XSN
아래에서	아래/NNG + 에서/JKB
별로	별로/MAG
큰	크/VA + ㄴ/ETM
의미도	의미/NNG + 도/JX
없고,	없/VA + 고/EC + ,/SP
따라서	따라서/MAJ
잘	잘/MAG
지켜지지도	지키/VV + 어/EC + 지/VX + 지/EC + 도/JX
않는다는	않/VX + 는다는/ETM
점에서	점/NNG + 에서/JKB
국회가	국회/NNG + 가/JKS
인식을	인식/NNG + 을/JKO
같이한다면	같이/MAG + 하/XSV + ㄴ다면/EC
장관의	장관/NNG + 의/JKG
임명	임명/NNG
절차에	절차/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
헌법	헌법/NNG
규정은	규정/NNG + 은/JX
개정할	개정/NNG + 하/XSV + ㄹ/ETM
필요가	필요/NNG + 가/JKS
있을	있/VV + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그것은	그것/NP + 은/JX
헌법의	헌법/NNG + 의/JKG
현실성과	현실/NNG + 성/XSN + 과/JC
권위를	권위/NNG + 를/JKO
위해서도	위하/VV + 아서/EC + 도/JX
그렇다.	그렇/VA + 다/EF + ./SF

다만	다만/MAG
법이	법/NNG + 이/JKS
아직	아직/MAG
고쳐지지	고치/VV + 어/EC + 지/VX + 지/EC
않은	않/VX + 은/ETM
상태에서는	상태/NNG + 에서/JKB + 는/JX
정치적	정치/NNG + 적/XSN
현실과	현실/NNG + 과/JC
법의	법/NNG + 의/JKG
규정이	규정/NNG + 이/JKS
충돌할	충돌/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
당연히	당연히/MAG
법을	법/NNG + 을/JKO
따르는	따르/VV + 는/ETM
것이	것/NNB + 이/JKS
법치	법치/NNG
국가의	국가/NNG + 의/JKG
체통이고,	체통/NNG + 이/VCP + 고/EC + ,/SP
대통령의	대통령/NNG + 의/JKG
수범이어야	수범/NNG + 이/VCP + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

특히	특히/MAG
현	현/MM
정권은	정권/NNG + 은/JX
오랜	오랜/MM
권위주의	권위주의/NNG
압제에서	압제/NNG + 에서/JKB
민주화로	민주/NNG + 화/XSN + 로/JKB
이행되는	이행/NNG + 되/XSV + 는/ETM
과도기를	과도기/NNG + 를/JKO
다스려야	다스리/VV + 어야/EC
하는	하/VX + 는/ETM
어려운	어렵/VA + ㄴ/ETM
입장에	입장/NNG + 에/JKB
있다.	있/VV + 다/EF + ./SF

그런	그런/MM
상황에서	상황/NNG + 에서/JKB
무엇보다	무엇/NP + 보다/JKB
불가결하게	불가결/NNG + 하/XSA + 게/EC
요구되는	요구/NNG + 되/XSV + 는/ETM
것은	것/NNB + 은/JX
법과	법/NNG + 과/JC
질서를	질서/NNG + 를/JKO
유지하는	유지/NNG + 하/XSV + 는/ETM
일이다.	일/NNG + 이/VCP + 다/EF + ./SF

법	법/NNG
질서에	질서/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
국민의	국민/NNG + 의/JKG
공감대	공감대/NNG
없이는	없이/MAG + 는/JX
이	이/MM
난국을	난국/NNG + 을/JKO
헤쳐	헤치/VV + 어/EC
가기가	가/VX + 기/ETN + 가/JKS
대단히	대단히/MAG
어렵다.	어렵/VA + 다/EF + ./SF

노	노/NNP
대통령이	대통령/NNG + 이/JKS
범죄와의	범죄/NNG + 와/JKB + 의/JKG
전쟁을	전쟁/NNG + 을/JKO
선포하고	선포/NNG + 하/XSV + 고/EC
사정을	사정/NNG + 을/JKO
강화하며	강화/NNG + 하/XSV + 며/EC
나라의	나라/NNG + 의/JKG
기강을	기강/NNG + 을/JKO
강조하고	강조/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
것은	것/NNB + 은/JX
그	그/MM
모두가	모두/NNG + 가/JKS
법과	법/NNG + 과/JC
질서에	질서/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
의식을	의식/NNG + 을/JKO
생활화하기	생활/NNG + 화/XSN + 하/XSV + 기/ETN
위한	위하/VV + ㄴ/ETM
노력의	노력/NNG + 의/JKG
일환인	일환/NNG + 이/VCP + ㄴ/ETM
줄로	줄/NNB + 로/JKB
알고	알/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

그렇다면	그렇/VA + 다면/EC
노	노/NNP
대통령은	대통령/NNG + 은/JX
비록	비록/MAG
과거의	과거/NNG + 의/JKG
대통령들이	대통령/NNG + 들/XSN + 이/JKS
그렇게	그렇/VA + 게/EC
했고	하/VX + 았/EP + 고/EC
정치적	정치/NNG + 적/XSN
관행으로	관행/NNG + 으로/JKB
여겨지는	여기/VV + 어/EC + 지/VX + 는/ETM
것들이라고	것/NNB + 들/XSN + 이/VCP + 라고/EC
하더라도,	하/VV + 더라도/EC + ,/SP
법과	법/NNG + 과/JC
질서를	질서/NNG + 를/JKO
솔선수범하는	솔선수범/NNG + 하/XSV + 는/ETM
입장에서	입장/NNG + 에서/JKB
아무리	아무리/MAG
번거롭더라도	번거롭/VA + 더라도/EC
헌법의	헌법/NNG + 의/JKG
절차를	절차/NNG + 를/JKO
지켜줬으면	지키/VV + 어/EC + 주/VX + 었/EP + 으면/EC
하는	하/VX + 는/ETM
아쉬움을	아쉬움/NNG + 을/JKO
갖게	갖/VV + 게/EC
되는	되/VV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그것은	그것/NP + 은/JX
아무도	아무/NP + 도/JX
없는	없/VA + 는/ETM
심야의	심야/NNG + 의/JKG
빈	비/VV + ㄴ/ETM
거리에서도	거리/NNG + 에서/JKB + 도/JX
파란불이	파랗/VA + ㄴ/ETM + 불/NNG + 이/JKS
켜져야	켜지/VV + 어야/EC
비로소	비로소/MAG
건너가는	건너가/VV + 는/ETM
자세를	자세/NNG + 를/JKO
의미하는	의미/NNG + 하/XSV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이번	이번/NNG
개각	개각/NNG
인사에서	인사/NNG + 에서/JKB
또한	또한/MAG
가지	가지/NNB
아쉬움을	아쉬움/NNG + 을/JKO
느끼는	느끼/VV + 는/ETM
것은	것/NNB + 은/JX
차관의	차관/NNG + 의/JKG
임명과정이었다.	임명/NNG + 과정/NNG + 이/VCP + 었/EP + 다/EF + ./SF

신문의	신문/NNG + 의/JKG
보도들은	보도/NNG + 들/XSN + 은/JX
이번	이번/NNG
차관	차관/NNG
인사가	인사/NNG + 가/JKS
새로	새로/MAG
임명됐거나	임명/NNG + 되/XSV + 었/EP + 거나/EC
유임되는	유임/NNG + 되/XSV + 는/ETM
관계	관계/NNG
장관들과	장관/NNG + 들/XSN + 과/JKB
전혀	전혀/MAG
상의	상의/NNG
없이	없이/MAG
이뤄진	이루어지/VV + ㄴ/ETM
것이라고	것/NNB + 이/VCP + 라고/EC
전하고	전하/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

장관	장관/NNG
인사와	인사/NNG + 와/JC
차관	차관/NNG
인사가	인사/NNG + 가/JKS
단행된	단행/NNG + 되/XSV + ㄴ/ETM
시간	시간/NNG
차이로	차이/NNG + 로/JKB
보아	보/VV + 아/EC
장관들의	장관/NNG + 들/XSN + 의/JKG
의견이	의견/NNG + 이/JKS
개진될	개진/NNG + 되/XSV + ㄹ/ETM
여유가	여유/NNG + 가/JKS
전혀	전혀/MAG
없었음은	없/VA + 었/EP + 음/ETN + 은/JX
충분히	충분히/MAG
알	알/VV + ㄹ/ETM
수가	수/NNB + 가/JKS
있다.	있/VV + 다/EF + ./SF

그렇다면	그렇/VA + 다면/EC
이번에는	이번/NNG + 에/JKB + 는/JX
장관	장관/NNG
인사와는	인사/NNG + 와/JKB + 는/JX
달리	달리/MAG
오래	오래/MAG
쌓여온	쌓이/VV + 어/EC + 오/VX + ㄴ/ETM
정치적	정치/NNG + 적/XSN
관행을	관행/NNG + 을/JKO
무시한	무시/NNG + 하/XSV + ㄴ/ETM
것이	것/NNB + 이/JKC
된다.	되/VV + ㄴ다/EF + ./SF

차관의	차관/NNG + 의/JKG
임명	임명/NNG
절차를	절차/NNG + 를/JKO
다룬	다루/VV + ㄴ/ETM
법	법/NNG
규정은	규정/NNG + 은/JX
헌법은	헌법/NNG + 은/JX
물론,	물론/MAG + ,/SP
정부	정부/NNG
조직법이나	조직법/NNG + 이나/JX
국가공무원법	국가/NNG + 공무원/NNG + 법/NNG
어디에도	어디/NP + 에/JKB + 도/JX
없다.	없/VA + 다/EF + ./SF

다만	다만/MAG
공무원은	공무원/NNG + 은/JX
대통령이	대통령/NNG + 이/JKS
임명한다는	임명/NNG + 하/XSV + ㄴ다는/ETM
포괄적	포괄/NNG + 적/XSN
규정이	규정/NNG + 이/JKS
있을	있/VV + 을/ETM
뿐이다.	뿐/NNB + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
지금까지	지금/NNG + 까지/JX
차관은	차관/NNG + 은/JX
하루	하루/NNG
이틀의	이틀/NNG + 의/JKG
시간적	시간/NNG + 적/XSN
차이를	차이/NNG + 를/JKO
두어	두/VV + 어/EC
장관들의	장관/NNG + 들/XSN + 의/JKG
의견이나	의견/NNG + 이나/JC
복수	복수/NNG
추천을	추천/NNG + 을/JKO
받아	받/VV + 아/EC
결정했던	결정/NNG + 하/XSV + 았/EP + 던/ETM
것이	것/NNB + 이/JKS
관례다.	관례/NNG + 이/VCP + 다/EF + ./SF

물론	물론/MAG
결과는	결과/NNG + 는/JX
대통령	대통령/NNG
의중대로	의중/NNG + 대로/JX
되는	되/VV + 는/ETM
것이지만	것/NNB + 이/VCP + 지만/EC
적어도	적어도/MAG
형식적으로는	형식/NNG + 적/XSN + 으로/JKB + 는/JX
그랬다.	그렇/VA + 었/EP + 다/EF + ./SF

노	노/NNP
대통령은	대통령/NNG + 은/JX
집권	집권/NNG
후반기를	후반기/NNG + 를/JKO
맞아	맞/VV + 아/EC
무엇보다도	무엇/NP + 보다/JKB + 도/JX
행정부의	행정부/NNG + 의/JKG
인화와	인화/NNG + 와/JC
단결을	단결/NNG + 을/JKO
필요로	필요/NNG + 로/JKB
하고	하/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

많은	많/VA + 은/ETM
사람들이	사람/NNG + 들/XSN + 이/JKS
지적했듯이	지적/NNG + 하/XSV + 았/EP + 듯이/EC
노	노/NNP
대통령은	대통령/NNG + 은/JX
새	새/MM
내각이	내각/NNG + 이/JKS
노	노/NNP
대통령의	대통령/NNG + 의/JKG
정책	정책/NNG
방향과	방향/NNG + 과/JC
의중을	의중/NNG + 을/JKO
잘	잘/MAG
파악하고	파악/NNG + 하/XSV + 고/EC
그의	그/NP + 의/JKG
의지를	의지/NNG + 를/JKO
살려	살리/VV + 어/EC
나가는	나가/VX + 는/ETM
명실상부한	명실상부/NNG + 하/XSA + ㄴ/ETM
'노	'/SS + 노/NNP
대통령의	대통령/NNG + 의/JKG
분신'으로	분신/NNG + '/SS + 으로/JKB
태어나기를	태어나/VV + 기/ETN + 를/JKO
바랐음직하다.	바라/VV + 았/EP + 음직/EC + 하/VX + 다/EF + ./SF

분명히	분명히/MAG
그런	그런/MM
필요성도	필요/NNG + 성/XSN + 도/JX
있었을	있/VV + 었/EP + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

다만	다만/MAG
어떻게	어떻/VA + 게/EC
'분신화'할	'/SS + 분신/NNG + 화/XSN + '/SS + 하/XSV + ㄹ/ETM
것인지가	것/NNB + 이/VCP + ㄴ지/EC + 가/JKS
중요한	중요/NNG + 하/XSA + ㄴ/ETM
문제다.	문제/NNG + 이/VCP + 다/EF + ./SF

행정부의	행정부/NNG + 의/JKG
각	각/MM
주요	주요/NNG
기능들을	기능/NNG + 들/XSN + 을/JKO
대통령의	대통령/NNG + 의/JKG
직접적	직접/NNG + 적/XSN
장악으로	장악/NNG + 으로/JKB
통제해	통제/NNG + 하/XSV + 아/EC
나갈	나가/VX + ㄹ/ETM
것이냐,	것/NNB + 이/VCP + 냐/EC + ,/SP
아니면	아니/VCN + 면/EC
계단식으로	계단식/NNG + 으로/JKB
질서를	질서/NNG + 를/JKO
잡아	잡/VV + 아/EC
간접적으로	간접/NNG + 적/XSN + 으로/JKB
그의	그/NP + 의/JKG
의지를	의지/NNG + 를/JKO
구현해	구현/NNG + 하/XSV + 아/EC
나갈	나가/VX + ㄹ/ETM
것이냐	것/NNB + 이/VCP + 냐/EC
하는	하/VV + 는/ETM
것은	것/NNB + 은/JX
행정부의	행정부/NNG + 의/JKG
일체성을	일체/NNG + 성/XSN + 을/JKO
위해	위하/VV + 아/EC
대단히	대단히/MAG
중요한	중요/NNG + 하/XSA + ㄴ/ETM
의미를	의미/NNG + 를/JKO
갖는다.	갖/VV + 는다/EF + ./SF

권력은	권력/NNG + 은/JX
그것을	그것/NP + 을/JKO
집중적으로	집중/NNG + 적/XSN + 으로/JKB
장악할	장악/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
그	그/MM
효율성을	효율/NNG + 성/XSN + 을/JKO
발휘할	발휘/NNG + 하/XSV + ㄹ/ETM
것인지,	것/NNB + 이/VCP + ㄴ지/EC + ,/SP
아니면	아니/VCN + 면/EC
그것을	그것/NP + 을/JKO
분산해서	분산/NNG + 하/XSV + 아서/EC
위임할	위임/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
더	더/MAG
큰	크/VA + ㄴ/ETM
힘을	힘/NNG + 을/JKO
발휘할	발휘/NNG + 하/XSV + ㄹ/ETM
것인지는	것/NNB + 이/VCP + ㄴ지/EC + 는/JX
임명권자의	임명권자/NNG + 의/JKG
선택의	선택/NNG + 의/JKG
문제다.	문제/NNG + 이/VCP + 다/EF + ./SF

이번	이번/NNG
차관	차관/NNG
인사의	인사/NNG + 의/JKG
과정은	과정/NNG + 은/JX
그것의	그것/NP + 의/JKG
한	한/MM
중요한	중요/NNG + 하/XSA + ㄴ/ETM
시사가	시사/NNG + 가/JKC
된다.	되/VV + ㄴ다/EF + ./SF

강도가	강도/NNG + 가/JKS
휘두른	휘두르/VV + ㄴ/ETM
칼에	칼/NNG + 에/JKB
찔려	찔리/VV + 어/EC
입원했다가	입원/NNG + 하/XSV + 았/EP + 다가/EC
3일	3/SN + 일/NNB
첫	첫/MM
출근한	출근/NNG + 하/XSV + ㄴ/ETM
서울	서울/NNP
동부	동부/NNG
경찰서	경찰서/NNG
중곡	중곡/NNP
4동파출소	4/SN + 동/NNG + 파출소/NNG
최성남	최성남/NNP
경장(33)은	경장/NNG + (/SS + 33/SN + )/SS + 은/JX
아직도	아직/MAG + 도/JX
몸이	몸/NNG + 이/JKS
불편하지만	불편/NNG + 하/XSA + 지만/EC
꼬박	꼬박/MAG
24시간의	24/SN + 시간/NNG + 의/JKG
근무를	근무/NNG + 를/JKO
어려움	어려움/NNG
없이	없이/MAG
끝냈다.	끝내/VV + 었/EP + 다/EF + ./SF

그동안	그동안/NNG
주민들이	주민/NNG + 들/XSN + 이/JKS
보내준	보내/VV + 어/EC + 주/VX + ㄴ/ETM
관심과	관심/NNG + 과/JC
정성을	정성/NNG + 을/JKO
떠올렸기	떠올리/VV + 었/EP + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

최	최/NNP
경장이	경장/NNG + 이/JKS
부상한	부상/NNG + 하/XSV + ㄴ/ETM
것은	것/NNB + 은/JX
지난해	지난해/NNG
11월	11/SN + 월/NNB
21일.	21/SN + 일/NNB + ./SF

당시	당시/NNG
순경이었던	순경/NNG + 이/VCP + 었/EP + 던/ETM
그는	그/NP + 는/JX
모	모/MM
치과	치과/NNG
병원에	병원/NNG + 에/JKB
4인조	4/SN + 인/NNG + 조/NNG
강도가	강도/NNG + 가/JKS
들었다는	들/VV + 었/EP + 다는/ETM
신고를	신고/NNG + 를/JKO
받고	받/VV + 고/EC
출동했다.	출동/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
범인	범인/NNG
2	2/SN
명이	명/NNB + 이/JKS
건물	건물/NNG
3층	3/SN + 층/NNG
계단에서	계단/NNG + 에서/JKB
최	최/NNP
순경을	순경/NNG + 을/JKO
밀치고	밀치/VV + 고/EC
달아났고	달아나/VV + 았/EP + 고/EC
뒤이어	뒤잇/VV + 어/EC
또한	또한/MAG
명의	명/NNB + 의/JKG
범인이	범인/NNG + 이/JKS
칼로	칼/NNG + 로/JKB
왼쪽	왼쪽/NNG
가슴을	가슴/NNG + 을/JKO
찔렀다.	찌르/VV + 었/EP + 다/EF + ./SF

쓰러진	쓰러지/VV + ㄴ/ETM
최	최/NNP
순경은	순경/NNG + 은/JX
한	한/MM
명이라도	명/NNB + 이/VCP + 라도/EC
잡아야겠다는	잡/VV + 아야/EC + 하/VX + 겠/EP + 다는/ETM
생각에	생각/NNG + 에/JKB
권총으로	권총/NNG + 으로/JKB
달아나는	달아나/VV + 는/ETM
맨	맨/MM
뒤	뒤/NNG
범인의	범인/NNG + 의/JKG
다리를	다리/NNG + 를/JKO
쏜	쏘/VV + ㄴ/ETM
뒤	뒤/NNG
의식을	의식/NNG + 을/JKO
잃고	잃/VV + 고/EC
경찰	경찰/NNG
병원으로	병원/NNG + 으로/JKB
옮겨졌다.	옮기/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

그	그/MM
후	후/NNG
경찰은	경찰/NNG + 은/JX
최	최/NNP
순경이	순경/NNG + 이/JKS
잡은	잡/VV + 은/ETM
범인을	범인/NNG + 을/JKO
조사한	조사/NNG + 하/XSV + ㄴ/ETM
끝에	끝/NNG + 에/JKB
한달	한/MM + 달/NNB
만인	만/NNB + 이/VCP + ㄴ/ETM
12월	12/SN + 월/NNB
21일	21/SN + 일/NNB
일당을	일당/NNG + 을/JKO
모두	모두/MAG
검거했다.	검거/NNG + 하/XSV + 았/EP + 다/EF + ./SF

최	최/NNP
순경은	순경/NNG + 은/JX
"경찰이	"/SS + 경찰/NNG + 이/JKS
좋아	좋/VA + 아/EC
택한	택하/VV + ㄴ/ETM
직업이지만	직업/NNG + 이/VCP + 지만/EC
전치	전치/NNG
6주의	6/SN + 주/NNB + 의/JKG
중상을	중상/NNG + 을/JKO
입고	입/VV + 고/EC
보니	보/VX + 니/EC
아내와	아내/NNG + 와/JC
딸(5)	딸/NNG + (/SS + 5/SN + )/SS
등	등/NNB
가족이	가족/NNG + 이/JKS
자꾸	자꾸/MAG
생각났다"고	생각나/VV + 았/EP + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
최	최/NNP
순경에게는	순경/NNG + 에게/JKB + 는/JX
뜻밖의	뜻밖/NNG + 의/JKG
위문객이	위문객/NNG + 이/JKS
줄을	줄/NNG + 을/JKO
이었다.	잇/VV + 었/EP + 다/EF + ./SF

신문을	신문/NNG + 을/JKO
통해	통하/VV + 아/EC
최	최/NNP
순경의	순경/NNG + 의/JKG
중상	중상/NNG
소식을	소식/NNG + 을/JKO
안	알/VV + ㄴ/ETM
성동구	성동구/NNP
중곡	중곡/NNP
4동	4/SN + 동/NNG
주민들이	주민/NNG + 들/XSN + 이/JKS
"동네의	"/SS + 동네/NNG + 의/JKG
안녕을	안녕/NNG + 을/JKO
위해	위하/VV + 아/EC
중상을	중상/NNG + 을/JKO
입은	입/VV + 은/ETM
경찰관을	경찰관/NNG + 을/JKO
보고만	보/VV + 고/EC + 만/JX
있을	있/VV + 을/ETM
수	수/NNB
없다"며	없/VA + 다/EC + "/SS + 며/EC
최	최/NNP
순경의	순경/NNG + 의/JKG
