지나간	지나가/VV + ㄴ/ETM
정파간의	정파/NNG + 간/NNB + 의/JKG
신뢰의	신뢰/NNG + 의/JKG
확립,	확립/NNG + ,/SP
정치인의	정치인/NNG + 의/JKG
자질	자질/NNG
향상,	향상/NNG + ,/SP
국민의	국민/NNG + 의/JKG
민주주의	민주주의/NNG
훈련,	훈련/NNG + ,/SP
그리고	그리고/MAJ
권력	권력/NNG
기관	기관/NNG
등	등/NNB
관료	관료/NNG
세력의	세력/NNG + 의/JKG
정치적	정치/NNG + 적/XSN
중립화가	중립/NNG + 화/XSN + 가/JKS
필수적이다.	필수/NNG + 적/XSN + 이/VCP + 다/EF + ./SF

89년	89/SN + 년/NNB
말까지는	말/NNB + 까지/JX + 는/JX
'청산'의	'/SS + 청산/NNG + '/SS + 의/JKG
쟁점으로	쟁점/NNG + 으로/JKB
혼미를	혼미/NNG + 를/JKO
거듭했다면,	거듭/MAG + 하/XSV + 았/EP + 다면/EC + ,/SP
90년부터는	90/SN + 년/NNB + 부터/JX + 는/JX
본격	본격/NNG
민주	민주/NNG
정치의	정치/NNG + 의/JKG
집을	집/NNG + 을/JKO
지어야	짓/VV + 어야/EC
할	하/VX + ㄹ/ETM
시기일	시기/NNG + 이/VCP + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

급변하는	급변/NNG + 하/XSV + 는/ETM
국내	국내/NNG
정치의	정치/NNG + 의/JKG
소용돌이에	소용돌이/NNG + 에/JKB
묻혀	묻히/VV + 어/EC
그	그/MM
중요성이	중요/NNG + 성/XSN + 이/JKS
간과되고	간과/NNG + 되/XSV + 고/EC
있는	있/VX + 는/ETM
듯한	듯/NNB + 하/XSA + ㄴ/ETM
매우	매우/MAG
중요한	중요/NNG + 하/XSA + ㄴ/ETM
문제들	문제/NNG + 들/XSN
가운데	가운데/NNG
지난	지나/VV + ㄴ/ETM
17,	17/SN + ,/SP
18	18/SN
양일간	양/MM + 일/NNB + 간/NNG
하와이에서	하와이/NNP + 에서/JKB
있은	있/VV + 은/ETM
한미	한미/NNP
방위	방위/NNG
실무자	실무자/NNG
회담이	회담/NNG + 이/JKS
있다.	있/VV + 다/EF + ./SF

여기서	여기/NP + 서/JKB
우리	우리/NP
국방부와	국방부/NNG + 와/JC
외무부	외무부/NNG
실무팀이	실무/NNG + 팀/NNG + 이/JKS
미국의	미국/NNP + 의/JKG
상대역들과	상대역/NNG + 들/XSN + 과/JKB
만나	만나/VV + 아/EC
협의한	협의/NNG + 하/XSV + ㄴ/ETM
것을	것/NNB + 을/JKO
토대로	토대/NNG + 로/JKB
2월	2/SN + 월/NNB
14일	14/SN + 일/NNB
서울에	서울/NNP + 에/JKB
오는	오/VV + 는/ETM
체니	체니/NNP
미	미/NNP
국방	국방/NNG
장관과의	장관/NNG + 과/JKB + 의/JKG
한미	한미/NNP
국방	국방/NNG
장관	장관/NNG
회담이	회담/NNG + 이/JKS
열리게	열리/VV + 게/EC
된다.	되/VV + ㄴ다/EF + ./SF

이	이/MM
회담은	회담/NNG + 은/JX
또	또/MAG
오는	오/VV + 는/ETM
4월초까지	4/SN + 월/NNB + 초/NNB + 까지/JX
미국의	미국/NNP + 의/JKG
부시	부시/NNP
행정부가	행정부/NNG + 가/JKS
의회에	의회/NNG + 에/JKB
내놓게	내놓/VV + 게/EC
돼	되/VV + 어/EC
있는	있/VX + 는/ETM
'주한	'/SS + 주한/NNG
미군에	미군/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
재평가	재/XPN + 평가/NNG
보고서'의	보고서/NNG + '/SS + 의/JKG
주요	주요/NNG
내용을	내용/NNG + 을/JKO
마련하게	마련/NNG + 하/XSV + 게/EC
될	되/VV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이렇게	이렇/VA + 게/EC
볼	보/VX + ㄹ/ETM
때	때/NNG
궁금해지는	궁금/XR + 하/XSA + 아/EC + 지/VX + 는/ETM
것은	것/NNB + 은/JX
하와이	하와이/NNP
회담의	회담/NNG + 의/JKG
내용이다.	내용/NNG + 이/VCP + 다/EF + ./SF

보도된	보도/NNG + 되/XSV + ㄴ/ETM
바대로라면	바/NNB + 대로/JX + 이/VCP + 라면/EC
하와이에서의	하와이/NNP + 에서/JKB + 의/JKG
양국	양국/NNG
예비	예비/NNG
회담에서는	회담/NNG + 에서/JKB + 는/JX
크게	크/VA + 게/EC
두	두/MM
가지가	가지/NNB + 가/JKS
논의되었던	논의/NNG + 되/XSV + 었/EP + 던/ETM
것으로	것/NNB + 으로/JKB
보인다.	보이/VV + ㄴ다/EF + ./SF

그	그/MM
하나는	하나/NR + 는/JX
주한	주한/NNG
미	미/NNP
지상군의	지상군/NNG + 의/JKG
감축	감축/NNG
또는	또는/MAG
단계적	단계/NNG + 적/XSN
철수	철수/NNP
문제,	문제/NNG + ,/SP
다른	다른/MM
하나는	하나/NR + 는/JX
미군의	미군/NNG + 의/JKG
한국	한국/NNP
주둔	주둔/NNG
비용	비용/NNG
가운데	가운데/NNG
한국측	한국/NNP + 측/NNB
부담의	부담/NNG + 의/JKG
증액에	증액/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
문제인	문제/NNG + 이/VCP + ㄴ/ETM
것	것/NNB
같다.	같/VA + 다/EF + ./SF

우리로서	우리/NP + 로서/JKB
초미의	초미/NNG + 의/JKG
관심사는	관심사/NNG + 는/JX
주한	주한/NNG
미	미/NNP
지상군의	지상군/NNG + 의/JKG
감축과	감축/NNG + 과/JC
궁극적인	궁극/NNG + 적/XSN + 이/VCP + ㄴ/ETM
철수	철수/NNP
문제이다.	문제/NNG + 이/VCP + 다/EF + ./SF

이	이/MM
문제에	문제/NNG + 에/JKB
관해서는	관하/VV + 아서/EC + 는/JX
벌써	벌써/MAG
오래전부터	오래전/NNG + 부터/JX
국내외	국내외/NNG
각계	각계/NNG
각층의	각층/NNG + 의/JKG
다양한	다양/NNG + 하/XSA + ㄴ/ETM
견해들이	견해/NNG + 들/XSN + 이/JKS
쏟아져	쏟아지/VV + 어/EC
나왔다.	나오/VV + 았/EP + 다/EF + ./SF

그	그/MM
가운데서도	가운데/NNG + 서/JKB + 도/JX
공통적인	공통/NNG + 적/XSN + 이/VCP + ㄴ/ETM
것은	것/NNB + 은/JX
주한	주한/NNG
미군은	미군/NNG + 은/JX
조만간	조만간/MAG
나가야	나가/VV + 아야/EC
한다는	하/VX + ㄴ다는/ETM
것,	것/NNB + ,/SP
즉	즉/MAG
전면	전면/NNG
철수의	철수/NNG + 의/JKG
당위론이다.	당위/NNG + 론/XSN + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
당위론은	당위/NNG + 론/XSN + 은/JX
언제나	언제나/MAG
현실적	현실/NNG + 적/XSN
이해	이해/NNG
관계와의	관계/NNG + 와/JKB + 의/JKG
조정을	조정/NNG + 을/JKO
불가피하게	불가피/XR + 하/XSA + 게/EC
만든다.	만들/VV + ㄴ다/EF + ./SF

우리가	우리/NP + 가/JKS
외국	외국/NNG
군대를	군대/NNG + 를/JKO
필요로	필요/NNG + 로/JKB
하는	하/VV + 는/ETM
것은	것/NNB + 은/JX
그것	그것/NP
없이는	없이/MAG + 는/JX
아직도	아직/MAG + 도/JX
우리의	우리/NP + 의/JKG
존립	존립/NNG
자체가	자체/NNG + 가/JKS
위협을	위협/NNG + 을/JKO
받고	받/VV + 고/EC
있다는	있/VX + 다는/ETM
엄연한	엄연/XR + 하/XSA + ㄴ/ETM
현실	현실/NNG
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

이것은	이것/NP + 은/JX
아직은	아직/MAG + 은/JX
하나의	하나/NR + 의/JKG
가정에	가정/NNG + 에/JKB
불과하면서	불과/MAG + 하/XSA + 면서/EC
조만간	조만간/MAG
실현되길	실현/NNG + 되/XSV + 기/ETN + ㄹ/JKO
열망하는	열망/NNG + 하/XSV + 는/ETM
바이지만,	바/NNB + 이/VCP + 지만/EC + ,/SP
만약	만약/NNG
북한이	북한/NNP + 이/JKS
현재의	현재/NNG + 의/JKG
대남	대남/NNG
공격	공격/NNG
태세의	태세/NNG + 의/JKG
절반만이라도	절반/NNG + 만/JX + 이/VCP + 라도/EC
방어	방어/NNG
태세로	태세/NNG + 로/JKB
전환한다면	전환/NNG + 하/XSV + ㄴ다면/EC
주한	주한/NNG
미군의	미군/NNG + 의/JKG
필요성은	필요/NNG + 성/XSN + 은/JX
반감될	반감/NNG + 되/XSV + ㄹ/ETM
수밖에	수/NNB + 밖에/JX
없을	없/VA + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

북한은	북한/NNP + 은/JX
화력과	화력/NNG + 과/JC
공력면에서	공력/NNG + 면/NNG + 에서/JKB
일반인의	일반인/NNG + 의/JKG
상상을	상상/NNG + 을/JKO
초월할	초월/NNG + 하/XSV + ㄹ/ETM
집중적	집중/NNG + 적/XSN
기습	기습/NNG
공격	공격/NNG
태세를	태세/NNG + 를/JKO
벌써	벌써/MAG
수십년째	수십/NR + 년/NNB + 째/XSN
풀지	풀/VV + 지/EC
않고	않/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

'주한	'/SS + 주한/NNG
미군의	미군/NNG + 의/JKG
감군	감군/NNG
또는	또는/MAG
단계적	단계/NNG + 적/XSN
철수의	철수/NNG + 의/JKG
전제가	전제/NNG + 가/JKC
되어야	되/VV + 어야/EC
할	하/VX + ㄹ/ETM
동북아의	동북아/NNP + 의/JKG
긴장	긴장/NNG
상태	상태/NNG
완화	완화/NNG
조짐이	조짐/NNG + 이/JKS
전혀	전혀/MAG
보이지	보이/VV + 지/EC
않는다는	않/VX + 는다는/ETM
데	데/NNB
의견을	의견/NNG + 을/JKO
같이했다'는	같이/MAG + 하/XSV + 았/EP + 다/EF + '/SS + 는/ETM
하와이에서의	하와이/NNP + 에서/JKB + 의/JKG
한미	한미/NNP
실무자들은	실무자/NNG + 들/XSN + 은/JX
그런	그런/MM
현실을	현실/NNG + 을/JKO
직시하고	직시/NNG + 하/XSV + 고/EC
있음을	있/VX + 음/ETN + 을/JKO
의미한다.	의미/NNG + 하/XSV + ㄴ다/EF + ./SF

그러나	그러나/MAJ
그것은	그것/NP + 은/JX
우리의	우리/NP + 의/JKG
사정일	사정/NNG + 이/VCP + ㄹ/ETM
뿐이다.	뿐/NNB + 이/VCP + 다/EF + ./SF

전반적인	전반/NNG + 적/XSN + 이/VCP + ㄴ/ETM
경제	경제/NNG
사정의	사정/NNG + 의/JKG
악화와	악화/NNG + 와/JC
군비	군비/NNG
축소	축소/NNG
경향에서	경향/NNG + 에서/JKB
미국은	미국/NNP + 은/JX
해외	해외/NNG
주둔군을	주둔군/NNG + 을/JKO
다소라도	다소/NNG + 이/VCP + 라도/EC
줄여야	줄이/VV + 어야/EC
하며	하/VX + 며/EC
주한	주한/NNG
미군도	미군/NNG + 도/JX
그	그/MM
예외일	예외/NNG + 이/VCP + ㄹ/ETM
순	수/NNB + ㄴ/JX
없다.	없/VA + 다/EF + ./SF

아마도	아마도/MAG
앞으로	앞/NNG + 으로/JKB
5년	5/SN + 년/NNB
간	간/NNB
단계적인	단계/NNG + 적/XSN + 이/VCP + ㄴ/ETM
감축은	감축/NNG + 은/JX
불가피할	불가피/XR + 하/XSA + ㄹ/ETM
것이며,	것/NNB + 이/VCP + 며/EC + ,/SP
그	그/MM
후의	후/NNG + 의/JKG
궁극적인	궁극/NNG + 적/XSN + 이/VCP + ㄴ/ETM
철수도	철수/NNG + 도/JX
피할	피하/VV + ㄹ/ETM
수	수/NNB
없을	없/VA + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

우리는	우리/NP + 는/JX
여기에	여기/NP + 에/JKB
대비해야	대비/NNG + 하/XSV + 아야/EC
하는	하/VX + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

경제적으로,	경제/NNG + 적/XSN + 으로/JKB + ,/SP
또는	또는/MAG
보다	보다/MAG
근본적으로는	근본/NNG + 적/XSN + 으로/JKB + 는/JX
정신적으로	정신/NNG + 적/XSN + 으로/JKB
대비해야	대비/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

미군	미군/NNG
주둔	주둔/NNG
비의	비/NNG + 의/JKG
부담은	부담/NNG + 은/JX
그런	그런/MM
측면에서	측면/NNG + 에서/JKB
고려되어야	고려/NNG + 되/XSV + 어야/EC
하는	하/VX + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

미군이	미군/NNG + 이/JKS
쓰는	쓰/VV + 는/ETM
토지-시설비,	토지/NNG + -/SS + 시설비/NNG + ,/SP
인력	인력/NNG
지원,	지원/NNG + ,/SP
운영	운영/NNG
유지비,	유지비/NNG + ,/SP
연합	연합/NNG
방위	방위/NNG
증강사업비	증강/NNG + 사업비/NNG
등(89년	등/NNB + (/SS + 89/SN + 년/NNB
중	중/NNB
약	약/MM
22억	22/SN + 억/NR
달러)은	달러/NNG + )/SS + 은/JX
결국은	결국/NNG + 은/JX
우리가	우리/NP + 가/JKS
쓸	쓰/VV + ㄹ/ETM
것을	것/NNB + 을/JKO
쓰고	쓰/VV + 고/EC
있는	있/VX + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

미군이	미군/NNG + 이/JKS
있기	있/VV + 기/ETN
때문에	때문/NNB + 에/JKB
쓰는	쓰/VV + 는/ETM
것이	것/NNB + 이/JKC
아니라	아니/VCN + 라/EC
미군이	미군/NNG + 이/JKS
없으면	없/VA + 으면/EC
우리가	우리/NP + 가/JKS
그	그/MM
몇십	몇/MM + 십/NR
배를	배/NNG + 를/JKO
더	더/MAG
써야	쓰/VV + 어야/EC
할	하/VX + ㄹ/ETM
것을	것/NNB + 을/JKO
미군이	미군/NNG + 이/JKS
있음으로써	있/VV + 음/ETN + 으로써/JKB
그만큼	그만큼/MAG
덜	덜/MAG
쓰는	쓰/VV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

북한은	북한/NNP + 은/JX
중국과의	중국/NNP + 과/JKB + 의/JKG
관계를	관계/NNG + 를/JKO
아직도	아직/MAG + 도/JX
혈맹	혈맹/NNG
관계라고	관계/NNG + 이/VCP + 라고/EC
하지만	하/VV + 지만/EC
한미	한미/NNP
관계는	관계/NNG + 는/JX
오히려	오히려/MAG
그렇게만	그렇/VA + 게/EC + 만/JX
볼	보/VX + ㄹ/ETM
수가	수/NNB + 가/JKS
없다.	없/VA + 다/EF + ./SF

한미	한미/NNP
관계는	관계/NNG + 는/JX
우호	우호/NNG
관계지만	관계/NNG + 이/VCP + 지만/EC
서로	서로/MAG
이해를	이해/NNG + 를/JKO
면밀히	면밀히/MAG
따지는	따지/VV + 는/ETM
경제	경제/NNG
관계이다.	관계/NNG + 이/VCP + 다/EF + ./SF

그런	그런/MM
의미에서	의미/NNG + 에서/JKB
우리는	우리/NP + 는/JX
전통	전통/NNG
우방	우방/NNG
미국의	미국/NNP + 의/JKG
군대가	군대/NNG + 가/JKS
여기	여기/NP
있음으로써	있/VV + 음/ETN + 으로써/JKB
우리가	우리/NP + 가/JKC
얻는	얻/VV + 는/ETM
것,	것/NNB + ,/SP
잃는	잃/VV + 는/ETM
것,	것/NNB + ,/SP
그리고	그리고/MAJ
미국의	미국/NNP + 의/JKG
득실을	득실/NNG + 을/JKO
함께	함께/MAG
냉철히	냉철히/MAG
따지는	따지/VV + 는/ETM
성숙한	성숙/NNG + 하/XSV + ㄴ/ETM
국제	국제/NNG
사회의	사회/NNG + 의/JKG
일원이어야	일원/NNG + 이/VCP + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

일본이	일본/NNP + 이/JKS
최근	최근/NNG
미군	미군/NNG
부대	부대/NNG
종사원	종사원/NNG
급여	급여/NNG
6백억	6/SN + 백억/NR
엔을	엔/NNG + 을/JKO
부담키로	부담/NNG + 하/XSV + 기/ETN + 로/JKB
한	하/VX + ㄴ/ETM
것을	것/NNB + 을/JKO
'배려	'/SS + 배려/NNG
예산'이라	예산/NNG + '/SS + 이/VCP + 라/EC
부르고	부르/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

바로	바로/MAG
그런	그런/MM
것이	것/NNB + 이/JKS
진짜	진짜/NNG
국익을	국익/NNG + 을/JKO
생각하는	생각/NNG + 하/XSV + 는/ETM
내셔널리즘이다.	내셔널리즘/NNG + 이/VCP + 다/EF + ./SF

거대	거대/NNG
신당의	신/XPN + 당/NNG + 의/JKG
출현과	출현/NNG + 과/JKB
그에	그/NP + 에/JKB
따른	따르/VV + ㄴ/ETM
정치	정치/NNG
제도의	제도/NNG + 의/JKG
변화는	변화/NNG + 는/JX
필연적으로	필연/NNG + 적/XSN + 으로/JKB
정경	정경/NNG
구도와	구도/NNG + 와/JC
경제	경제/NNG
운영에도	운영/NNG + 에/JKB + 도/JX
크나큰	크나크/VA + ㄴ/ETM
영향을	영향/NNG + 을/JKO
끼칠	끼치/VV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

우리는	우리/NP + 는/JX
무엇보다도	무엇/NP + 보다/JKB + 도/JX
먼저	먼저/MAG
그	그/MM
같은	같/VA + 은/ETM
영향이	영향/NNG + 이/JKS
긍정적이고	긍정/NNG + 적/XSN + 이/VCP + 고/EC
발전적인	발전/NNG + 적/XSN + 이/VCP + ㄴ/ETM
것이	것/NNB + 이/JKC
되지	되/VV + 지/EC
않으면	않/VX + 으면/EC
안된다고	안/MAG + 되/XSV + ㄴ다고/EC
믿는다.	믿/VV + 는다/EF + ./SF

사회와	사회/NNG + 와/JC
경제의	경제/NNG + 의/JKG
발전에	발전/NNG + 에/JKB
기여하지	기여/NNG + 하/XSV + 지/EC
못하거나	못하/VX + 거나/EC
오히려	오히려/MAG
그것을	그것/NP + 을/JKO
저해하는	저해/NNG + 하/XSV + 는/ETM
쪽으로	쪽/NNB + 으로/JKB
정치가	정치/NNG + 가/JKS
흘러간다면	흘러가/VV + ㄴ다면/EC
그	그/MM
명분이	명분/NNG + 이/JKS
아무리	아무리/MAG
그럴	그렇/VA + ㄹ/ETM
듯해도	듯/NNB + 하/XSA + 아도/EC
정계	정계/NNG
개편의	개편/NNG + 의/JKG
의미는	의미/NNG + 는/JX
사라지고	사라지/VV + 고/EC
말	말/VX + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

정치	정치/NNG
지도자들이	지도자/NNG + 들/XSN + 이/JKS
깊이	깊이/MAG
생각해야	생각/NNG + 하/XSV + 아야/EC
할	하/VX + ㄹ/ETM
첫번째	첫/MM + 번/NNB + 째/XSN
명제는	명제/NNG + 는/JX
진행되고	진행/NNG + 되/XSV + 고/EC
있는	있/VX + 는/ETM
정계	정계/NNG
개편과	개편/NNG + 과/JC
이른바	이른바/MAG
보수	보수/NNG
대연합이	대/XPN + 연합/NNG + 이/JKS
궁극적으로	궁극/NNG + 적/XSN + 으로/JKB
무엇을	무엇/NP + 을/JKO
지키려는가	지키/VV + 려는가/EC
하는	하/VX + 는/ETM
점이다.	점/NNG + 이/VCP + 다/EF + ./SF

만약	만약/NNG
그들이	그/NP + 들/XSN + 이/JKS
손잡고	손잡/VV + 고/EC
지키려는	지키/VV + 려는/ETM
보수가	보수/NNG + 가/JKS
정치적	정치/NNG + 적/XSN
권위주의나	권위주의/NNG + 나/JC
경제적	경제/NNG + 적/XSN
독점주의의	독점주의/NNG + 의/JKG
과거	과거/NNG
도식에	도식/NNG + 에/JKB
회귀하는	회귀/NNG + 하/XSV + 는/ETM
것이라면	것/NNB + 이/VCP + 라면/EC
국민들은	국민/NNG + 들/XSN + 은/JX
결코	결코/MAG
그	그/MM
같은	같/VA + 은/ETM
회귀를	회귀/NNG + 를/JKO
승인하지	승인/NNG + 하/XSV + 지/EC
않을	않/VX + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

지금	지금/MAG
우리가	우리/NP + 가/JKS
처해	처하/VV + 아/EC
있는	있/VX + 는/ETM
경제는	경제/NNG + 는/JX
지켜	지키/VV + 어/EC
가야	가/VX + 아야/EC
할	하/VX + ㄹ/ETM
부분보다	부분/NNG + 보다/JKB
개혁해야	개혁/NNG + 하/XSV + 아야/EC
할	하/VX + ㄹ/ETM
부분이	부분/NNG + 이/JKS
훨씬	훨씬/MAG
더	더/MAG
심각한	심각/XR + 하/XSA + ㄴ/ETM
시점에	시점/NNG + 에/JKB
직면해	직면/NNG + 하/XSV + 아/EC
있다.	있/VX + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
3년	3/SN + 년/NNB
간	간/NNB
우리가	우리/NP + 가/JKS
겪었던	겪/VV + 었/EP + 던/ETM
혼선과	혼선/NNG + 과/JC
마찰은	마찰/NNG + 은/JX
개혁에	개혁/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
사회적	사회/NNG + 적/XSN
합의를	합의/NNG + 를/JKO
실천해	실천/NNG + 하/XSV + 아/EC
가는	가/VX + 는/ETM
과정에서	과정/NNG + 에서/JKB
물었던	물/VV + 었/EP + 던/ETM
엄청난	엄청나/VA + ㄴ/ETM
학습비용이었다.	학습/NNG + 비용/NNG + 이/VCP + 었/EP + 다/EF + ./SF

그런	그런/MM
비싼	비싸/VA + ㄴ/ETM
국가적	국가/NNG + 적/XSN
비용을	비용/NNG + 을/JKO
물고도	물/VV + 고/EC + 도/JX
여전히	여전히/MAG
우리는	우리/NP + 는/JX
더	더/MAG
개혁해야	개혁/NNG + 하/XSV + 아야/EC
할	하/VX + ㄹ/ETM
많은	많/VA + 은/ETM
과제를	과제/NNG + 를/JKO
남겨	남기/VV + 어/EC
놓고	놓/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

이제부터	이제/NNG + 부터/JX
필요한	필요/NNG + 하/XSA + ㄴ/ETM
것은	것/NNB + 은/JX
시행	시행/NNG
착오와	착오/NNG + 와/JC
감당하기	감당/NNG + 하/XSV + 기/ETN
어려운	어렵/VA + ㄴ/ETM
비싼	비싸/VA + ㄴ/ETM
학습	학습/NNG
비용을	비용/NNG + 을/JKO
줄이면서	줄이/VV + 면서/EC
개혁을	개혁/NNG + 을/JKO
완수하는	완수/NNG + 하/XSV + 는/ETM
일이지	일/NNG + 이/VCP + 지/EC
수업료	수업료/NNG
핑계로	핑계/NNG + 로/JKB
개혁을	개혁/NNG + 을/JKO
포기하거나	포기/NNG + 하/XSV + 거나/EC
과거의	과거/NNG + 의/JKG
기득권	기득/NNG + 권/XSN
체제로	체제/NNG + 로/JKB
돌아가는	돌아가/VV + 는/ETM
보수여서는	보수/NNG + 이/VCP + 어서/EC + 는/JX
결코	결코/MAG
안된다는	안/MAG + 되/XSV + ㄴ다는/ETM
것이	것/NNB + 이/JKS
우리의	우리/NP + 의/JKG
생각이다.	생각/NNG + 이/VCP + 다/EF + ./SF

우리는	우리/NP + 는/JX
이미	이미/MAG
여소야대의	여소야대/NNG + 의/JKG
정치에서도	정치/NNG + 에서/JKB + 도/JX
경제	경제/NNG
개혁의	개혁/NNG + 의/JKG
혼선을	혼선/NNG + 을/JKO
여러번	여러/MM + 번/NNB
경험했다.	경험/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
야대로	야/NNG + 대/NNG + 로/JKB
만들어	만들/VV + 어/EC
준	주/VX + ㄴ/ETM
국민의	국민/NNG + 의/JKG
당초	당초/NNG
뜻은	뜻/NNG + 은/JX
아직도	아직/MAG + 도/JX
개혁의	개혁/NNG + 의/JKG
과제로	과제/NNG + 로/JKB
남아	남/VV + 아/EC
있고	있/VX + 고/EC
그것은	그것/NP + 은/JX
비록	비록/MAG
보수	보수/NNG
여대로	여/NNG + 대/NNG + 로/JKB
형태를	형태/NNG + 를/JKO
바꾼	바꾸/VV + ㄴ/ETM
뒤에도	뒤/NNG + 에/JKB + 도/JX
여전히	여전히/MAG
살아남아	살아남/VV + 아/EC
있음을	있/VX + 음/ETN + 을/JKO
간과해서는	간과/NNG + 하/XSV + 아서/EC + 는/JX
안될	안/MAG + 되/XSV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

새	새/MM
정치	정치/NNG
구도에서	구도/NNG + 에서/JKB
가장	가장/MAG
경계돼야	경계/NNG + 되/XSV + 어야/EC
할	하/VX + ㄹ/ETM
것은	것/NNB + 은/JX
정경	정경/NNG
유착의	유착/NNG + 의/JKG
부활이다.	부활/NNG + 이/VCP + 다/EF + ./SF

거대	거대/NNG
여당은	여당/NNG + 은/JX
필연적으로	필연/NNG + 적/XSN + 으로/JKB
권력의	권력/NNG + 의/JKG
비대화와	비대/NNG + 화/XSN + 와/JC
정책의	정책/NNG + 의/JKG
전횡을	전횡/NNG + 을/JKO
낳게되고	낳/VV + 게/EC + 되/VV + 고/EC
경제지배력	경제/NNG + 지배력/NNG
또한	또한/MAG
확대되게	확대/NNG + 되/XSV + 게/EC
마련이며,	마련/NNG + 이/VCP + 며/EC + ,/SP
이는	이/NP + 는/JX
구조적으로	구조/NNG + 적/XSN + 으로/JKB
정경	정경/NNG
유착을	유착/NNG + 을/JKO
강화하기	강화/NNG + 하/XSV + 기/ETN
쉽다.	쉽/VA + 다/EF + ./SF

더구나	더구나/MAG
새	새/MM
여당의	여당/NNG + 의/JKG
구조상	구조/NNG + 상/XSN
파벌	파벌/NNG
정치의	정치/NNG + 의/JKG
대두가	대두/NNG + 가/JKS
예견되는	예견/NNG + 되/XSV + 는/ETM
만큼	만큼/NNB
정경의	정경/NNG + 의/JKG
복합적	복합/NNG + 적/XSN
유착	유착/NNG
가능성은	가능/NNG + 성/XSN + 은/JX
매우	매우/MAG
높아	높/VA + 아/EC
보인다.	보이/VV + ㄴ다/EF + ./SF

이런	이런/MM
정치	정치/NNG
구도가	구도/NNG + 가/JKS
도입	도입/NNG
정착되는	정착/NNG + 되/XSV + 는/ETM
것은	것/NNB + 은/JX
우리의	우리/NP + 의/JKG
현실에서는	현실/NNG + 에서/JKB + 는/JX
가장	가장/MAG
불행하고	불행/NNG + 하/XSA + 고/EC
위험한	위험/NNG + 하/XSA + ㄴ/ETM
구도가	구도/NNG + 가/JKC
아닐	아니/VCN + ㄹ/ETM
수	수/NNB
없다.	없/VA + 다/EF + ./SF

경제	경제/NNG
개발에	개발/NNG + 에/JKB
매달린	매달리/VV + ㄴ/ETM
30여년	30/SN + 여/XSN + 년/NNB
동안	동안/NNG
제대로	제대로/MAG
자본주의	자본주의/NNG
