서울	서울/NNP
난곡	난곡/NNP
산꼭대기에	산꼭대기/NNG + 에/JKB
해송	해송/NNP
아기둥지를	아기/NNG + 둥지/NNG + 를/JKO
열었다.	열/VV + 었/EP + 다/EF + ./SF

가난한	가난/NNG + 하/XSA + ㄴ/ETM
맞벌이	맞벌이/NNG
부부를	부부/NNG + 를/JKO
도울뿐	돕/VV + ㄹ/ETM + 뿐/JX
아니라,	아니/VCN + 라/EC + ,/SP
나중에	나중/NNG + 에/JKB
어른이	어른/NNG + 이/JKC
되어서라도	되/VV + 어서/EC + 이/VCP + 라도/EC
"그	"/SS + 그/MM
시절에	시절/NNG + 에/JKB
나를	나/NP + 를/JKO
도와	돕/VV + 아/EC
주는	주/VX + 는/ETM
사람이	사람/NNG + 이/JKS
있었지"하고	있/VV + 었/EP + 지/EC + "/SS + 하고/JKB
마음	마음/NNG
한	한/MM
구석에	구석/NNG + 에/JKB
'따뜻한	'/SS + 따뜻/XR + 하/XSA + ㄴ/ETM
고향'을	고향/NNG + '/SS + 을/JKO
만들어주자는	만들/VV + 어/EC + 주/VX + 자는/ETM
생각도	생각/NNG + 도/JX
있었다고	있/VV + 었/EP + 다고/EC
성씨는	성/NNP + 씨/NNB + 는/JX
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

그러나	그러나/MAJ
손수	손수/MAG
모래를	모래/NNG + 를/JKO
날라가며	나르/VV + 아/EC + 가/VX + 며/EC
만들었던	만들/VV + 었/EP + 던/ETM
난곡	난곡/NNP
해송	해송/NNP
아기둥지는	아기/NNG + 둥지/NNG + 는/JX
82년	82/SN + 년/NNB
새마을	새/MM + 마을/NNG
유아원	유아원/NNG
창립	창립/NNG
바람에	바람/NNG + 에/JKB
휘말려	휘말리/VV + 어/EC
YWCA에	YWCA/SL + 에/JKB
넘겨줄	넘겨주/VV + ㄹ/ETM
수밖에	수/NNB + 밖에/JX
없었다.	없/VA + 었/EP + 다/EF + ./SF

창신동에	창신동/NNP + 에/JKB
새	새/MM
아기둥지를	아기/NNG + 둥지/NNG + 를/JKO
튼	틀/VV + ㄴ/ETM
것은	것/NNB + 은/JX
난곡을	난곡/NNP + 을/JKO
떠난	떠나/VV + ㄴ/ETM
지	지/NNB
2년만인	2/SN + 년/NNB + 만/JX + 이/VCP + ㄴ/ETM
84년.	84/SN + 년/NNB + ./SF

전세	전세/NNG
6백만원에	6/SN + 백만/NR + 원/NNB + 에/JKB
지은	짓/VV + 은/ETM
지	지/NNB
30년	30/SN + 년/NNB
된	되/VV + ㄴ/ETM
산꼭대기	산꼭대기/NNG
22평짜리	22/SN + 평/NNB + 짜리/XSN
집	집/NNG
한	한/MM
채를	채/NNB + 를/JKO
빌렸다.	빌리/VV + 었/EP + 다/EF + ./SF

"당시만	"/SS + 당시/NNG + 만/JX
해도	하/VV + 아도/EC
탁아소라는	탁아소/NNG + 이/VCP + 라는/ETM
게	것/NNB + 이/JKS
참	참/MAG
낯선	낯설/VA + ㄴ/ETM
기관이었습니다.	기관/NNG + 이/VCP + 었/EP + 습니다/EF + ./SF

고아원	고아원/NNG
같은	같/VA + 은/ETM
걸	것/NNB + ㄹ/JKO
연상했는지,	연상/NNG + 하/XSV + 았/EP + 는지/EC + ,/SP
동네에서는	동네/NNG + 에서/JKB + 는/JX
나가라는	나가/VV + 라는/ETM
사람도	사람/NNG + 도/JX
있었습니다."	있/VV + 었/EP + 습니다/EF + ./SF + "/SS

지금은	지금/NNG + 은/JX
그러나	그러나/MAJ
개원	개원/NNG
잔치	잔치/NNG
때면	때/NNG + 이/VCP + 면/EC
파출소장,	파출소장/NNG + ,/SP
구의원도	구/XPN + 의원/NNG + 도/JX
오고	오/VV + 고/EC
과일가게,	과일/NNG + 가게/NNG + ,/SP
통닭집,	통닭집/NNG + ,/SP
비디오가게를	비디오/NNG + 가게/NNG + 를/JKO
운영하는	운영/NNG + 하/XSV + 는/ETM
동네	동네/NNG
유지들이	유지/NNG + 들/XSN + 이/JKS
음식을	음식/NNG + 을/JKO
보내기도	보내/VV + 기/ETN + 도/JX
하는	하/VX + 는/ETM
지역	지역/NNG
주민의	주민/NNG + 의/JKG
중심이	중심/NNG + 이/JKC
됐다.	되/VV + 었/EP + 다/EF + ./SF

해송	해송/NNP
아기둥지처럼	아기/NNG + 둥지/NNG + 처럼/JKB
가난한	가난/NNG + 하/XSA + ㄴ/ETM
지역에	지역/NNG + 에/JKB
민간운동가들의	민간/NNG + 운동가/NNG + 들/XSN + 의/JKG
손으로	손/NNG + 으로/JKB
생겨난	생겨나/VV + ㄴ/ETM
탁아소들이	탁아소/NNG + 들/XSN + 이/JKS
서울에만	서울/NNP + 에/JKB + 만/JX
40여	40/SN + 여/XSN
곳.	곳/NNG + ./SF

"영유아	"/SS + 영유아/NNG
보육법이	보육법/NNG + 이/JKS
규정한	규정/NNG + 하/XSV + ㄴ/ETM
시설-교사	시설/NNG + -/SS + 교사/NNG
기준에	기준/NNG + 에/JKB
맞춰야	맞추/VV + 어야/EC
하는	하/VX + 는/ETM
유예	유예/NNG
기간이	기간/NNG + 이/JKS
이제	이제/MAG
1년정도	1/SN + 년/NNB + 정도/NNG
남았습니다만,	남/VV + 았/EP + 습니다/EC + 만/JX + ,/SP
지금으로서는	지금/NNG + 으로서/JKB + 는/JX
아무	아무/MM
대책이	대책/NNG + 이/JKS
없습니다.	없/VA + 습니다/EF + ./SF

너댓	너댓/NR
식구	식구/NNG
한가족이	한/MM + 가족/NNG + 이/JKS
방	방/NNG
한칸에	한/MM + 칸/NNG + 에/JKB
사는	살/VV + 는/ETM
이런	이런/MM
지역에서	지역/NNG + 에서/JKB
아이	아이/NNG
한	한/MM
사람당	사람/NNG + 당/XSN
0.9평씩	0/SN + ./SP + 9/SN + 평/NNB + 씩/XSN
돌아가는	돌아가/VV + 는/ETM
시설은	시설/NNG + 은/JX
할	하/VV + ㄹ/ETM
수도	수/NNB + 도/JX
없고,	없/VA + 고/EC + ,/SP
이들에게도	이/NP + 들/XSN + 에게/JKB + 도/JX
문화	문화/NNG
충격이	충격/NNG + 이/JKS
큽니다.	크/VA + ㅂ니다/EF + ./SF

"	"/SS
성씨는	성/NNP + 씨/NNB + 는/JX
지금도	지금/NNG + 도/JX
운영난으로	운영난/NNG + 으로/JKB
문닫는	문/NNG + 닫/VV + 는/ETM
가난한	가난/NNG + 하/XSA + ㄴ/ETM
지역	지역/NNG
민간	민간/NNG
탁아시설이	탁아/NNG + 시설/NNG + 이/JKS
많다며	많/VA + 다며/EC
교사	교사/NNG
봉급	봉급/NNG
지원	지원/NNG
등	등/NNB
시설에	시설/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
지원이	지원/NNG + 이/JKS
시급하다고	시급/XR + 하/XSA + 다고/EC
촉구했다.	촉구/NNG + 하/XSV + 았/EP + 다/EF + ./SF

여성	여성/NNG
단체들이	단체/NNG + 들/XSN + 이/JKS
성폭력에	성폭력/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
교육용	교육/NNG + 용/XSN
비디오-영화제작에	비디오/NNG + -/SS + 영화/NNG + 제작/NNG + 에/JKB
활발히	활발히/MAG
나서고	나서/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

한국	한국/NNP
여성의	여성/NNG + 의/JKG
전화(회장	전화/NNG + (/SS + 회장/NNG
이문우)는	이문우/NNP + )/SS + 는/JX
성폭력에	성폭력/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
교육용	교육/NNG + 용/XSN
비디오	비디오/NNG
'성폭력,	'/SS + 성폭력/NNG + ,/SP
그	그/MM
사슬을	사슬/NNG + 을/JKO
끊고'를	끊/VV + 고/EC + '/SS + 를/JKO
만들어	만들/VV + 어/EC
3일	3/SN + 일/NNB
오후	오후/NNG
2시	2/SN + 시/NNB
서울	서울/NNP
불광동	불광동/NNP
한국	한국/NNP
여성개발원	여성/NNG + 개발원/NNG
국제회의장에서	국제/NNG + 회의장/NNG + 에서/JKB
시사회를	시사회/NNG + 를/JKO
연다.	열/VV + ㄴ다/EF + ./SF

한국	한국/NNP
여성개발원(원장	여성/NNG + 개발원/NNG + (/SS + 원장/NNG
김정자)은	김정자/NNP + )/SS + 은/JX
성폭력	성폭력/NNG
주제	주제/NNG
영화	영화/NNG
제작을	제작/NNG + 을/JKO
올해	올해/NNG
사업으로	사업/NNG + 으로/JKB
잡고	잡/VV + 고/EC
있으며,	있/VX + 으며/EC + ,/SP
한국	한국/NNP
성폭력상담소(소장	성폭력/NNG + 상담소/NNG + (/SS + 소장/NNG
최영애)는	최영애/NNP + )/SS + 는/JX
어린이	어린이/NNG
성폭력	성폭력/NNG
예방	예방/NNG
비디오	비디오/NNG
제작을	제작/NNG + 을/JKO
계획하고	계획/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

각	각/MM
여성	여성/NNG
단체들은	단체/NNG + 들/XSN + 은/JX
성폭력에	성폭력/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
사회적	사회/NNG + 적/XSN
관심을	관심/NNG + 을/JKO
환기시키는데	환기/NNG + 시키/XSV + 는데/EC
영상매체가	영상/NNG + 매체/NNG + 가/JKS
가장	가장/MAG
효과적이라는	효과/NNG + 적/XSN + 이/VCP + 라는/ETM
생각에서	생각/NNG + 에서/JKB
이를	이/NP + 를/JKO
기획했다고	기획/NNG + 하/XSV + 았/EP + 다고/EC
밝힌다.	밝히/VV + ㄴ다/EF + ./SF

'성폭력…'은	'/SS + 성폭력/NNG + …/SE + '/SS + 은/JX
여성의	여성/NNG + 의/JKG
전화가	전화/NNG + 가/JKS
87년	87/SN + 년/NNB
'굴레를	'/SS + 굴레/NNG + 를/JKO
벗고서'를	벗/VV + 고서/EC + '/SS + 를/JKO
제작한	제작/NNG + 하/XSV + ㄴ/ETM
이래	이래/NNG
두	두/MM
번째로	번/NNB + 째/XSN + 로/JKB
내놓은	내놓/VV + 은/ETM
성폭력	성폭력/NNG
주제	주제/NNG
비디오다.	비디오/NNG + 이/VCP + 다/EF + ./SF

'굴레를	'/SS + 굴레/NNG + 를/JKO
벗고서'가	벗/VV + 고서/EC + '/SS + 가/JKS
한	한/MM
여성의	여성/NNG + 의/JKG
삶을	삶/NNG + 을/JKO
통해	통하/VV + 아/EC
성폭행,	성폭행/NNG + ,/SP
아내	아내/NNG
구타의	구타/NNG + 의/JKG
현실을	현실/NNG + 을/JKO
파헤치는	파헤치/VV + 는/ETM
드라마인데	드라마/NNG + 이/VCP + ㄴ데/EC
반해	반하/VV + 아/EC
'성폭력,	'/SS + 성폭력/NNG + ,/SP
그	그/MM
사슬을	사슬/NNG + 을/JKO
끊고'는	끊/VV + 고/EC + '/SS + 는/JX
중고생과	중/NNG + 고/NNG + 생/XSN + 과/JC
성인들이	성인/NNG + 들/XSN + 이/JKS
함께	함께/MAG
보며	보/VV + 며/EC
성폭력에	성폭력/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
잘못된	잘못/MAG + 되/XSV + ㄴ/ETM
인식을	인식/NNG + 을/JKO
바로잡을	바로잡/VV + 을/ETM
수	수/NNB
있는	있/VV + 는/ETM
다큐멘터리	다큐멘터리/NNG
형식으로	형식/NNG + 으로/JKB
구성됐다.	구성/NNG + 되/XSV + 었/EP + 다/EF + ./SF

이	이/MM
비디오는	비디오/NNG + 는/JX
방송	방송/NNG
제작대행사인	제작/NNG + 대행사/NNG + 이/VCP + ㄴ/ETM
트리콤이	트리콤/NNP + 이/JKS
제작을	제작/NNG + 을/JKO
맡았다.	맡/VV + 았/EP + 다/EF + ./SF

이	이/MM
비디오는	비디오/NNG + 는/JX
유치원,	유치원/NNG + ,/SP
국민학교,	국민학교/NNG + ,/SP
중	중/NNG
고교	고교/NNG
등	등/NNB
교육	교육/NNG
현장에서	현장/NNG + 에서/JKB
벌어지는	벌어지/VV + 는/ETM
성차별	성/NNG + 차별/NNG
교육,	교육/NNG + ,/SP
향락산업,	향락/NNG + 산업/NNG + ,/SP
선정적인	선정/NNG + 적/XSN + 이/VCP + ㄴ/ETM
광고같이	광고/NNG + 같이/JKB
성폭력을	성폭력/NNG + 을/JKO
조장하는	조장/NNG + 하/XSV + 는/ETM
사회분위기	사회/NNG + 분위기/NNG
등	등/NNB
우리	우리/NP
사회에	사회/NNG + 에/JKB
성폭력이	성폭력/NNG + 이/JKS
만연한	만연/NNG + 하/XSV + ㄴ/ETM
원인을	원인/NNG + 을/JKO
다각적으로	다각/NNG + 적/XSN + 으로/JKB
찾아	찾/VV + 아/EC
보는	보/VX + 는/ETM
내용이다.	내용/NNG + 이/VCP + 다/EF + ./SF

각계	각계/NNG
각층	각층/NNG
사람과	사람/NNG + 과/JC
전문가의	전문가/NNG + 의/JKG
인터뷰,	인터뷰/NNG + ,/SP
현장	현장/NNG
취재를	취재/NNG + 를/JKO
통해	통하/VV + 아/EC
성폭력에	성폭력/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
잘못된	잘못/MAG + 되/XSV + ㄴ/ETM
통념과	통념/NNG + 과/JC
실태를	실태/NNG + 를/JKO
파헤치고	파헤치/VV + 고/EC
개선	개선/NNG
방향을	방향/NNG + 을/JKO
제시하고	제시/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

내레이터는	내레이터/NNG + 는/JX
여성학자	여성학자/NNG
오숙희	오숙희/NNP
씨가	씨/NNB + 가/JKS
맡았다.	맡/VV + 았/EP + 다/EF + ./SF

여성의	여성/NNG + 의/JKG
전화는	전화/NNG + 는/JX
50분	50/SN + 분/NNB
길이의	길이/NNG + 의/JKG
이	이/MM
비디오	비디오/NNG
테이프를	테이프/NNG + 를/JKO
2만원에	2/SN + 만/NR + 원/NNB + 에/JKB
판매할	판매/NNG + 하/XSV + ㄹ/ETM
계획이다.	계획/NNG + 이/VCP + 다/EF + ./SF

여성개발원의	여성/NNG + 개발원/NNG + 의/JKG
성폭력	성폭력/NNG
영화는	영화/NNG + 는/JX
평범한	평범/XR + 하/XSA + ㄴ/ETM
여성이	여성/NNG + 이/JKS
피해를	피해/NNG + 를/JKO
당한	당하/VV + ㄴ/ETM
후	후/NNG
부닥치게	부닥치/VV + 게/EC
되는	되/VV + 는/ETM
현실과	현실/NNG + 과/JC
이의	이/NP + 의/JKG
극복을	극복/NNG + 을/JKO
그리는	그리/VV + 는/ETM
드라마로	드라마/NNG + 로/JKB
12월쯤	12/SN + 월/NNB + 쯤/NNG
완성될	완성/NNG + 되/XSV + ㄹ/ETM
예정이다.	예정/NNG + 이/VCP + 다/EF + ./SF

이	이/MM
영화의	영화/NNG + 의/JKG
기획을	기획/NNG + 을/JKO
맡은	맡/VV + 은/ETM
여성개발원의	여성/NNG + 개발원/NNG + 의/JKG
전숙희	전숙희/NNP
책임연구원은	책임/NNG + 연구원/NNG + 은/JX
"누구든	"/SS + 누구/NP + 이/VCP + 든/EC
성폭력의	성폭력/NNG + 의/JKG
피해자가	피해자/NNG + 가/JKC
될	되/VV + ㄹ/ETM
수	수/NNB
있다는	있/VV + 다는/ETM
것을	것/NNB + 을/JKO
전제로	전제/NNG + 로/JKB
성폭력에	성폭력/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
인식	인식/NNG
변화,	변화/NNG + ,/SP
사회	사회/NNG
서비스	서비스/NNG
확대의	확대/NNG + 의/JKG
필요성을	필요/NNG + 성/XSN + 을/JKO
강조하게	강조/NNG + 하/XSV + 게/EC
될	되/VV + ㄹ/ETM
것"이라고	것/NNB + "/SS + 이라고/JKQ
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

성폭력	성폭력/NNG
상담소의	상담소/NNG + 의/JKG
어린이	어린이/NNG
성폭력	성폭력/NNG
예방	예방/NNG
비디오는	비디오/NNG + 는/JX
어린이	어린이/NNG
피해	피해/NNG
사례가	사례/NNG + 가/JKS
많고	많/VA + 고/EC
그	그/MM
후유증도	후유증/NNG + 도/JX
심각하지만	심각/XR + 하/XSA + 지만/EC
대책이	대책/NNG + 이/JKS
거의	거의/MAG
없다는	없/VA + 다는/ETM
문제의식에서	문제의식/NNG + 에서/JKB
기획됐다.	기획/NNG + 되/XSV + 었/EP + 다/EF + ./SF

상담소의	상담소/NNG + 의/JKG
노주희	노주희/NNP
간사는	간사/NNG + 는/JX
"내	"/SS + 나/NP + 의/JKG
몸에	몸/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
권리는	권리/NNG + 는/JX
내게	나/NP + 에게/JKB
있다는	있/VV + 다는/ETM
생각을	생각/NNG + 을/JKO
심어	심/VV + 어/EC
주는	주/VX + 는/ETM
것을	것/NNB + 을/JKO
바탕으로	바탕/NNG + 으로/JKB
여러	여러/MM
상황에서	상황/NNG + 에서/JKB
어린이들이	어린이/NNG + 들/XSN + 이/JKS
대처할	대처/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
방법을	방법/NNG + 을/JKO
알기	알/VV + 기/ETN
쉽게	쉽/VA + 게/EC
가르쳐	가르치/VV + 어/EC
줄	주/VX + ㄹ/ETM
것"이라고	것/NNB + "/SS + 이라고/JKQ
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

'미니	'/SS + 미니/NNG
AIDS	AIDS/SL
현상'-.	현상/NNG + '/SS + -/SS + ./SF

50대	50/SN + 대/NNB
들어서면	들어서/VV + 면/EC
신체능력이	신체/NNG + 능력/NNG + 이/JKS
급격히	급격히/MAG
떨어지고	떨어지/VV + 고/EC
면역력도	면역력/NNG + 도/JX
저하돼	저하/NNG + 되/XSV + 어/EC
마치	마치/MAG
AIDS처럼	AIDS/SL + 처럼/JKB
병에	병/NNG + 에/JKB
잘	잘/MAG
걸리고	걸리/VV + 고/EC
잘	잘/MAG
낫지도	낫/VV + 지/EC + 도/JX
않는다고	않/VX + 는다고/EC
해서	하/VV + 아서/EC
나온	나오/VV + ㄴ/ETM
용어이다.	용어/NNG + 이/VCP + 다/EF + ./SF

그만큼	그만큼/MAG
50대는	50/SN + 대/NNB + 는/JX
작은	작/VA + 은/ETM
스트레스,	스트레스/NNG + ,/SP
약간의	약간/NNG + 의/JKG
피로에도	피로/NNG + 에/JKB + 도/JX
쉽게	쉽/VA + 게/EC
영향받는	영향/NNG + 받/VV + 는/ETM
'성인병	'/SS + 성인병/NNG
전성기'라는	전성기/NNG + '/SS + 이/VCP + 라는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

따라서	따라서/MAJ
50대의	50/SN + 대/NNB + 의/JKG
부부관계,	부부/NNG + 관계/NNG + ,/SP
특히	특히/MAG
아내들이	아내/NNG + 들/XSN + 이/JKS
갱년기	갱년기/NNG
우울증에	우울증/NNG + 에/JKB
빠지기	빠지/VV + 기/ETN
쉬운	쉽/VA + ㄴ/ETM
이	이/MM
때의	때/NNG + 의/JKG
부부관계는	부부/NNG + 관계/NNG + 는/JX
잘하면	잘/MAG + 하/XSV + 면/EC
약이	약/NNG + 이/JKC
되고	되/VV + 고/EC
잘못하면	잘못/MAG + 하/XSV + 면/EC
병이	병/NNG + 이/JKC
된다고	되/VV + ㄴ다고/EC
전문가들은	전문가/NNG + 들/XSN + 은/JX
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

50대는	50/SN + 대/NNB + 는/JX
첫	첫/MM
아이가	아이/NNG + 가/JKS
집을	집/NNG + 을/JKO
떠나기	떠나/VV + 기/ETN
시작해서	시작/NNG + 하/XSV + 아서/EC
마지막	마지막/NNG
아이까지	아이/NNG + 까지/JX
출가,	출가/NNG + ,/SP
부부	부부/NNG
둘만	둘/NR + 만/JX
남게	남/VV + 게/EC
된다.	되/VV + ㄴ다/EF + ./SF

'품안의	'/SS + 품/NNG + 안/NNG + 의/JKG
자식'과	자식/NNG + '/SS + 과/JKB
생이별하는	생/XPN + 이별/NNG + 하/XSV + 는/ETM
상처를	상처/NNG + 를/JKO
겪지만	겪/VV + 지만/EC
다시금	다시금/MAG
부부가	부부/NNG + 가/JKS
서로의	서로/NNG + 의/JKG
얼굴을	얼굴/NNG + 을/JKO
마주	마주/MAG
대하는	대하/VV + 는/ETM
여유를	여유/NNG + 를/JKO
찾게	찾/VV + 게/EC
된다.	되/VV + ㄴ다/EF + ./SF

부부간	부부간/NNG
대화	대화/NNG
시간이	시간/NNG + 이/JKS
늘어나고	늘어나/VV + 고/EC
함께	함께/MAG
여행하며	여행/NNG + 하/XSV + 며/EC
취미	취미/NNG
생활도	생활/NNG + 도/JX
즐기게	즐기/VV + 게/EC
된다.	되/VV + ㄴ다/EF + ./SF

그래서	그래서/MAJ
이	이/MM
시기는	시기/NNG + 는/JX
결혼	결혼/NNG
만족도가	만족도/NNG + 가/JKS
신혼기와	신혼기/NNG + 와/JKB
함께	함께/MAG
가장	가장/MAG
높게	높/VA + 게/EC
나타난다.	나타나/VV + ㄴ다/EF + ./SF

그러나	그러나/MAJ
모든	모든/MM
50대	50/SN + 대/NNB
부부가	부부/NNG + 가/JKS
그렇진	그렇/VA + 지/EC + ㄴ/JX
않다.	않/VV + 다/EF + ./SF

신체	신체/NNG
기능이	기능/NNG + 이/JKS
급격히	급격히/MAG
퇴행하는	퇴행/NNG + 하/XSV + 는/ETM
이	이/MM
시기에	시기/NNG + 에/JKB
원만치	원만/XR + 하/XSA + 지/EC
못한	못하/VX + ㄴ/ETM
부부관계는	부부/NNG + 관계/NNG + 는/JX
스트레스와	스트레스/NNG + 와/JC
피로를	피로/NNG + 를/JKO
가중,	가중/NNG + ,/SP
'미니	'/SS + 미니/NNG
AIDS	AIDS/SL
현상'을	현상/NNG + '/SS + 을/JKO
심화하는	심화/NNG + 하/XSV + 는/ETM
경우도	경우/NNG + 도/JX
적지	적/VA + 지/EC
않다고	않/VX + 다고/EC
연세대	연세대/NNP
의대	의대/NNG
윤방부	윤방부/NNP
교수(가정의학과)는	교수/NNG + (/SS + 가정/NNG + 의학/NNG + 과/NNG + )/SS + 는/JX
경고한다.	경고/NNG + 하/XSV + ㄴ다/EF + ./SF

윤	윤/NNP
교수는	교수/NNG + 는/JX
"50대에선	"/SS + 50/SN + 대/NNB + 에서/JKB + ㄴ/JX
특히	특히/MAG
여성에게	여성/NNG + 에게/JKB
먼저	먼저/MAG
뚜렷한	뚜렷/XR + 하/XSA + ㄴ/ETM
변화가	변화/NNG + 가/JKS
나타난다.	나타나/VV + ㄴ다/EF + ./SF

폐경기라는	폐경기/NNG + 이/VCP + 라는/ETM
커다란	커다랗/VA + ㄴ/ETM
신체	신체/NNG
변화,	변화/NNG + ,/SP
자녀들의	자녀/NNG + 들/XSN + 의/JKG
출가	출가/NNG
등으로	등/NNB + 으로/JKB
상실감에	상실감/NNG + 에/JKB
사로잡혀	사로잡히/VV + 어/EC
우울증에	우울증/NNG + 에/JKB
빠지게	빠지/VV + 게/EC
된다"고	되/VV + ㄴ다/EC + "/SS + 고/JKQ
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

사회적으로	사회/NNG + 적/XSN + 으로/JKB
정점에	정점/NNG + 에/JKB
달한	달하/VV + ㄴ/ETM
남편과는	남편/NNG + 과/JKB + 는/JX
너무도	너무/MAG + 도/JX
대조적인,	대조/NNG + 적/XSN + 이/VCP + ㄴ/ETM + ,/SP
삶의	삶/NNG + 의/JKG
목적을	목적/NNG + 을/JKO
잃어버린	잃어버리/VV + ㄴ/ETM
자신을	자신/NNG + 을/JKO
발견하곤	발견/NNG + 하/XSV + 곤/EC
허탈감-억울함-고독	허탈감/NNG + -/SS + 억울/XR + 하/XSA + ㅁ/ETN + -/SS + 고독/NNG
등	등/NNB
복잡한	복잡/XR + 하/XSA + ㄴ/ETM
심리적인	심리/NNG + 적/XSN + 이/VCP + ㄴ/ETM
갈등을	갈등/NNG + 을/JKO
겪게	겪/VV + 게/EC
되는데,	되/VV + 는데/EC + ,/SP
여기서부터	여기/NP + 서부터/JKB
부부	부부/NNG
갈등이	갈등/NNG + 이/JKS
시작된다는	시작/NNG + 되/XSV + ㄴ다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

50대	50/SN + 대/NNB
후반	후반/NNG
들어	들/VV + 어/EC
사소한	사소/XR + 하/XSA + ㄴ/ETM
일로	일/NNG + 로/JKB
자주	자주/MAG
다투고,	다투/VV + 고/EC + ,/SP
그러다가	그러/VV + 다가/EC
방을	방/NNG + 을/JKO
따로	따로/MAG
쓰게	쓰/VV + 게/EC
되는	되/VV + 는/ETM
'사태'는	'/SS + 사태/NNG + '/SS + 는/JX
이처럼	이/NP + 처럼/JKB
남편과	남편/NNG + 과/JC
아내의	아내/NNG + 의/JKG
'불균등	'/SS + 불/XPN + 균등/NNG
발전'에서	발전/NNG + '/SS + 에서/JKB
주로	주로/MAG
기인한다고	기인/NNG + 하/XSV + ㄴ다고/EC
그는	그/NP + 는/JX
설명한다.	설명/NNG + 하/XSV + ㄴ다/EF + ./SF

서강대	서강대/NNP
김인자	김인자/NNP
교수(61·한국	교수/NNG + (/SS + 61/SN + ·/SP + 한국/NNP
가족치료학회장)는	가족/NNG + 치료/NNG + 학회장/NNG + )/SS + 는/JX
'함께주의'를	'/SS + 함께/MAG + 주의/NNG + '/SS + 를/JKO
강조한다.	강조/NNG + 하/XSV + ㄴ다/EF + ./SF

모임에	모임/NNG + 에/JKB
함께	함께/MAG
나가고	나가/VV + 고/EC
함께	함께/MAG
취미생활하며	취미/NNG + 생활/NNG + 하/XSV + 며/EC
함께	함께/MAG
스포츠를	스포츠/NNG + 를/JKO
즐기는	즐기/VV + 는/ETM
등	등/NNB
모든	모든/MM
것을	것/NNB + 을/JKO
부부가	부부/NNG + 가/JKS
함께	함께/MAG
하는	하/VV + 는/ETM
것이	것/NNB + 이/JKS
갱년기	갱년기/NNG
부부생활을	부부/NNG + 생활/NNG + 을/JKO
슬기롭게	슬기/NNG + 롭/XSA + 게/EC
보내는지혜라고	보내/VV + 는/ETM + 지혜/NNG + 이/VCP + 라고/EC
권한다.	권하/VV + ㄴ다/EF + ./SF

특히	특히/MAG
서로	서로/MAG
손을	손/NNG + 을/JKO
잡아	잡/VV + 아/EC
주고	주/VX + 고/EC
등을	등/NNG + 을/JKO
두들겨	두들기/VV + 어/EC
주며	주/VX + 며/EC
팔짱을	팔짱/NNG + 을/JKO
끼는	끼/VV + 는/ETM
'터칭(Touching)'(신체적	'/SS + 터칭/NNG + (/SS + Touching/SL + )/SS + '/SS + (/SS + 신체/NNG + 적/XSN
접촉)은	접촉/NNG + )/SS + 은/JX
부부관계에	부부/NNG + 관계/NNG + 에/JKB
있어	있/VV + 어/EC
윤활유와도	윤활유/NNG + 와/JKB + 도/JX
같다고	같/VA + 다고/EC
김	김/NNP
교수는	교수/NNG + 는/JX
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

3고(병고,	3/SN + 병고/NNG + (/SS + 병고/NNG + ,/SP
경제고,	경제고/NNG + ,/SP
고고)에	고고/NNG + )/SS + 에/JKB
빠진	빠지/VV + ㄴ/ETM
